Sentence,Label,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
fall down .,"subject, tense_aspect","1	fall	_	_	_	_	0	root	_	_
2	down	_	_	_	_	1	advmod	_	_
3	.	_	_	_	_	1	punct	_	_","1	fall	_	VERB	VB	_	0	root	_	_
2	down	_	ADP	RP	_	1	compound:prt	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Fall	fall	VERB	VB	_	0	root	0:root	_
2	down	down	ADP	RP	_	1	compound:prt	1:compound:prt	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
fall down okay .,"subject, tense_aspect","1	fall	_	_	_	_	0	root	_	_
2	down	_	_	_	_	1	advmod	_	_
3	okay	_	_	_	_	1	discourse	_	_
4	.	_	_	_	_	1	punct	_	_","1	fall	_	VERB	VB	_	0	root	_	_
2	down	_	ADP	RP	_	1	compound:prt	_	_
3	okay	_	ADJ	JJ	_	1	xcomp	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
saying upstairs .,"subject, auxiliary","1	saying	_	_	_	_	0	root	_	_
2	upstairs	_	_	_	_	1	obj	_	_
3	.	_	_	_	_	1	punct	_	_","1	saying	_	VERB	VBG	_	0	root	_	_
2	upstairs	_	ADV	RB	_	1	advmod	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
down stair .,other,"1	down	_	_	_	_	2	advmod	_	_
2	stair	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	down	_	ADP	IN	_	2	case	_	_
2	stair	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
ah boy .,"determiner, verb","1	ah	_	_	_	_	0	root	_	_
2	boy	_	_	_	_	1	vocative	_	_
3	.	_	_	_	_	1	punct	_	_","1	ah	_	INTJ	UH	_	2	discourse	_	_
2	boy	_	INTJ	UH	_	0	root	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
you're fire there .,"verb, determiner","1	you're	_	_	_	_	2	nsubj	_	_
2	fire	_	_	_	_	0	root	_	_
3	there	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	3	nsubj	_	_
2	're	_	AUX	VBP	_	3	cop	_	_
3	fire	_	NOUN	NN	_	0	root	_	_
4	there	_	ADV	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
your fire on there .,verb,"1	your	_	_	_	_	2	nmod:poss	_	_
2	fire	_	_	_	_	0	root	_	_
3	on	_	_	_	_	4	case	_	_
4	there	_	_	_	_	2	advmod	_	_
5	.	_	_	_	_	2	punct	_	_","1	your	_	PRON	PRP$	_	2	nmod:poss	_	_
2	fire	_	NOUN	NN	_	0	root	_	_
3	on	_	ADP	IN	_	4	case	_	_
4	there	_	ADV	RB	_	2	nmod	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
I've I've got .,object,"1	I've	_	_	_	_	3	reparandum	_	_
2	I've	_	_	_	_	3	nsubj	_	_
3	got	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	5	nsubj	_	_
2	've	_	AUX	VBP	_	5	aux	_	_
3	I	_	PRON	PRP	_	5	nsubj	_	_
4	've	_	AUX	VBP	_	5	aux	_	_
5	got	_	VERB	VBN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
I I finished my talking ?,tense_aspect,"1	I	_	_	_	_	2	reparandum	_	_
2	I	_	_	_	_	3	nsubj	_	_
3	finished	_	_	_	_	0	root	_	_
4	my	_	_	_	_	5	nmod:poss	_	_
5	talking	_	_	_	_	3	obj	_	_
6	?	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	I	_	PRON	PRP	_	3	nsubj	_	_
3	finished	_	VERB	VBD	_	0	root	_	_
4	my	_	PRON	PRP$	_	5	nmod:poss	_	_
5	talking	_	NOUN	NN	_	3	obj	_	_
6	?	_	PUNCT	.	_	3	punct	_	_",
I going nee nah nee nah .,present_progressive,"1	I	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	nee	_	_	_	_	2	discourse	_	_
4	nah	_	_	_	_	3	conj	_	_
5	nee	_	_	_	_	3	conj	_	_
6	nah	_	_	_	_	3	conj	_	_
7	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	going	_	VERB	VBG	_	0	root	_	_
3	nee	_	INTJ	UH	_	2	discourse	_	_
4	nah	_	INTJ	UH	_	2	discourse	_	_
5	nee	_	INTJ	UH	_	2	discourse	_	_
6	nah	_	INTJ	UH	_	2	discourse	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
"fire engine's coming , Aunty Mabel .",determiner,"1	fire	_	_	_	_	2	compound	_	_
2	engine's	_	_	_	_	3	nsubj	_	_
3	coming	_	_	_	_	0	root	_	_
4	,	_	_	_	_	3	discourse	_	_
5	Aunty	_	_	_	_	3	vocative	_	_
6	Mabel	_	_	_	_	5	flat	_	_
7	.	_	_	_	_	3	punct	_	_","1	fire	_	NOUN	NN	_	2	compound	_	_
2	engine	_	NOUN	NN	_	4	nsubj	_	_
3	's	_	PART	POS	_	2	case	_	_
4	coming	_	VERB	VBG	_	0	root	_	_
5	,	_	PUNCT	,	_	6	punct	_	_
6	Aunty	_	PROPN	NNP	_	4	vocative	_	_
7	Mabel	_	PROPN	NNP	_	6	flat	_	_
8	.	_	PUNCT	.	_	4	punct	_	_",
crashed into a big your big doggy poo .,subject,"1	crashed	_	_	_	_	0	root	_	_
2	into	_	_	_	_	8	case	_	_
3	a	_	_	_	_	4	det	_	_
4	big	_	_	_	_	5	reparandum	_	_
5	your	_	_	_	_	8	nmod:poss	_	_
6	big	_	_	_	_	8	amod	_	_
7	doggy	_	_	_	_	8	compound	_	_
8	poo	_	_	_	_	1	obl	_	_
9	.	_	_	_	_	1	punct	_	_","1	crashed	_	VERB	VBD	_	0	root	_	_
2	into	_	ADP	IN	_	8	case	_	_
3	a	_	DET	DT	_	8	det	_	_
4	big	_	ADJ	JJ	_	8	amod	_	_
5	your	_	PRON	PRP$	_	8	nmod:poss	_	_
6	big	_	ADJ	JJ	_	8	amod	_	_
7	doggy	_	ADJ	JJ	_	8	amod	_	_
8	poo	_	NOUN	NN	_	1	obl	_	_
9	.	_	PUNCT	.	_	1	punct	_	_",
uh uh dumper truck slipped on the road too .,determiner,"1	uh	_	_	_	_	5	discourse	_	_
2	uh	_	_	_	_	1	conj	_	_
3	dumper	_	_	_	_	4	compound	_	_
4	truck	_	_	_	_	5	nsubj	_	_
5	slipped	_	_	_	_	0	root	_	_
6	on	_	_	_	_	8	case	_	_
7	the	_	_	_	_	8	det	_	_
8	road	_	_	_	_	5	obl	_	_
9	too	_	_	_	_	5	advmod	_	_
10	.	_	_	_	_	5	punct	_	_","1	uh	_	INTJ	UH	_	5	discourse	_	_
2	uh	_	INTJ	UH	_	5	discourse	_	_
3	dumper	_	NOUN	NN	_	4	compound	_	_
4	truck	_	NOUN	NN	_	5	nsubj	_	_
5	slipped	_	VERB	VBD	_	0	root	_	_
6	on	_	ADP	IN	_	8	case	_	_
7	the	_	DET	DT	_	8	det	_	_
8	road	_	NOUN	NN	_	5	obl	_	_
9	too	_	ADV	RB	_	5	advmod	_	_
10	.	_	PUNCT	.	_	5	punct	_	_",
I not need to get down .,auxiliary,"1	I	_	_	_	_	3	nsubj	_	_
2	not	_	_	_	_	3	advmod	_	_
3	need	_	_	_	_	0	root	_	_
4	to	_	_	_	_	5	mark	_	_
5	get	_	_	_	_	3	xcomp	_	_
6	down	_	_	_	_	5	advmod	_	_
7	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	not	_	PART	RB	_	3	advmod	_	_
3	need	_	VERB	VBP	_	0	root	_	_
4	to	_	PART	TO	_	5	mark	_	_
5	get	_	VERB	VB	_	3	xcomp	_	_
6	down	_	ADP	RP	_	5	compound:prt	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
I not like that at all .,auxiliary,"1	I	_	_	_	_	3	nsubj	_	_
2	not	_	_	_	_	3	advmod	_	_
3	like	_	_	_	_	0	root	_	_
4	that	_	_	_	_	3	obj	_	_
5	at	_	_	_	_	6	case	_	_
6	all	_	_	_	_	4	obl	_	_
7	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	not	_	PART	RB	_	3	advmod	_	_
3	like	_	VERB	VBP	_	0	root	_	_
4	that	_	PRON	DT	_	3	obj	_	_
5	at	_	ADP	IN	_	6	case	_	_
6	all	_	DET	DT	_	3	obl	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
"oh Mummy , I'm .",object,"1	oh	_	_	_	_	4	discourse	_	_
2	Mummy	_	_	_	_	4	vocative	_	_
3	,	_	_	_	_	4	mark	_	_
4	I'm	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	oh	_	INTJ	UH	_	5	discourse	_	_
2	Mummy	_	PROPN	NNP	_	5	vocative	_	_
3	,	_	PUNCT	,	_	2	punct	_	_
4	I	_	PRON	PRP	_	5	nsubj	_	_
5	'm	_	AUX	VBP	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
oh I not like that little boy down my dress .,auxiliary,"1	oh	_	_	_	_	7	discourse	_	_
2	I	_	_	_	_	7	nsubj	_	_
3	not	_	_	_	_	7	advmod	_	_
4	like	_	_	_	_	7	case	_	_
5	that	_	_	_	_	7	det	_	_
6	little	_	_	_	_	7	amod	_	_
7	boy	_	_	_	_	0	root	_	_
8	down	_	_	_	_	10	case	_	_
9	my	_	_	_	_	10	nmod:poss	_	_
10	dress	_	_	_	_	7	nmod	_	_
11	.	_	_	_	_	7	punct	_	_","1	oh	_	INTJ	UH	_	4	discourse	_	_
2	I	_	PRON	PRP	_	4	nsubj	_	_
3	not	_	PART	RB	_	4	advmod	_	_
4	like	_	VERB	VBP	_	0	root	_	_
5	that	_	DET	DT	_	7	det	_	_
6	little	_	ADJ	JJ	_	7	amod	_	_
7	boy	_	NOUN	NN	_	4	obj	_	_
8	down	_	ADP	IN	_	10	case	_	_
9	my	_	PRON	PRP$	_	10	nmod:poss	_	_
10	dress	_	NOUN	NN	_	4	obl	_	_
11	.	_	PUNCT	.	_	4	punct	_	_",
Teletubbies are there .,determiner,"1	Teletubbies	_	_	_	_	2	nsubj	_	_
2	are	_	_	_	_	3	cop	_	_
3	there	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Teletubbies	_	NOUN	NNS	_	3	nsubj	_	_
2	are	_	AUX	VBP	_	3	cop	_	_
3	there	_	ADV	RB	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
eating Smarties that little boy .,other,"1	eating	_	_	_	_	0	root	_	_
2	Smarties	_	_	_	_	1	obj	_	_
3	that	_	_	_	_	5	det	_	_
4	little	_	_	_	_	5	amod	_	_
5	boy	_	_	_	_	1	parataxis	_	_
6	.	_	_	_	_	1	punct	_	_","1	eating	_	VERB	VBG	_	0	root	_	_
2	Smarties	_	NOUN	NNS	_	1	obj	_	_
3	that	_	DET	DT	_	5	det	_	_
4	little	_	ADJ	JJ	_	5	amod	_	_
5	boy	_	NOUN	NN	_	1	obj	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
it's mornings now .,plural,"1	it's	_	_	_	_	2	cop	_	_
2	mornings	_	_	_	_	0	root	_	_
3	now	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	mornings	_	NOUN	NNS	_	0	root	_	_
4	now	_	ADV	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
Grandad a poorly tummy like me .,"verb, other","1	Grandad	_	_	_	_	4	vocative	_	_
2	a	_	_	_	_	4	det	_	_
3	poorly	_	_	_	_	4	amod	_	_
4	tummy	_	_	_	_	0	root	_	_
5	like	_	_	_	_	6	case	_	_
6	me	_	_	_	_	4	nmod	_	_
7	.	_	_	_	_	4	punct	_	_","1	Grandad	_	NOUN	NN	_	4	nsubj	_	_
2	a	_	DET	DT	_	4	det	_	_
3	poorly	_	ADV	RB	_	4	advmod	_	_
4	tummy	_	NOUN	NN	_	0	root	_	_
5	like	_	ADP	IN	_	6	case	_	_
6	me	_	PRON	PRP	_	4	nmod	_	_
7	.	_	PUNCT	.	_	4	punct	_	_",
oh Grandad got a poorly tummy .,other,"1	oh	_	_	_	_	3	discourse	_	_
2	Grandad	_	_	_	_	3	nsubj	_	_
3	got	_	_	_	_	0	root	_	_
4	a	_	_	_	_	6	det	_	_
5	poorly	_	_	_	_	6	amod	_	_
6	tummy	_	_	_	_	3	obj	_	_
7	.	_	_	_	_	3	punct	_	_","1	oh	_	INTJ	UH	_	3	discourse	_	_
2	Grandad	_	PROPN	NNP	_	3	nsubj	_	_
3	got	_	VERB	VBD	_	0	root	_	_
4	a	_	DET	DT	_	6	det	_	_
5	poorly	_	ADV	RB	_	6	advmod	_	_
6	tummy	_	NOUN	NN	_	3	obj	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
Gran Grandad Beilbie better .,verb,"1	Gran	_	_	_	_	4	vocative	_	_
2	Grandad	_	_	_	_	1	flat	_	_
3	Beilbie	_	_	_	_	1	flat	_	_
4	better	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	Gran	_	PROPN	NNP	_	4	nsubj	_	_
2	Grandad	_	PROPN	NNP	_	1	flat	_	_
3	Beilbie	_	PROPN	NNP	_	1	flat	_	_
4	better	_	ADJ	JJR	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
big birds coming out your hair .,"present_progressive, preposition","1	big	_	_	_	_	2	amod	_	_
2	birds	_	_	_	_	3	nsubj	_	_
3	coming	_	_	_	_	0	root	_	_
4	out	_	_	_	_	6	case	_	_
5	your	_	_	_	_	6	nmod:poss	_	_
6	hair	_	_	_	_	3	obl	_	_
7	.	_	_	_	_	3	punct	_	_","1	big	_	ADJ	JJ	_	2	amod	_	_
2	birds	_	NOUN	NNS	_	0	root	_	_
3	coming	_	VERB	VBG	_	2	acl	_	_
4	out	_	ADP	IN	_	6	case	_	_
5	your	_	PRON	PRP$	_	6	nmod:poss	_	_
6	hair	_	NOUN	NN	_	3	obl	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
there La La's ball .,verb,"1	there	_	_	_	_	4	expl	_	_
2	La	_	_	_	_	4	nmod:poss	_	_
3	La's	_	_	_	_	2	flat	_	_
4	ball	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	there	_	ADV	RB	_	0	root	_	_
2	La	_	PROPN	NNP	_	5	nmod:poss	_	_
3	La	_	PROPN	NNP	_	2	flat	_	_
4	's	_	PART	POS	_	2	case	_	_
5	ball	_	NOUN	NN	_	1	nsubj	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
"Mummy , La La ball .","determiner, possessive","1	Mummy	_	_	_	_	5	vocative	_	_
2	,	_	_	_	_	5	punct	_	_
3	La	_	_	_	_	5	reparandum	_	_
4	La	_	_	_	_	3	flat	_	_
5	ball	_	_	_	_	0	root	_	_
6	.	_	_	_	_	5	punct	_	_","1	Mummy	_	NOUN	NN	_	0	root	_	_
2	,	_	PUNCT	,	_	5	punct	_	_
3	La	_	PROPN	NNP	_	5	compound	_	_
4	La	_	PROPN	NNP	_	3	flat	_	_
5	ball	_	NOUN	NN	_	1	appos	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
and La La.,verb,"1	and	_	_	_	_	2	cc	_	_
2	La	_	_	_	_	0	conj	_	_
3	La.	_	_	_	_	2	flat	_	_","1	and	_	CCONJ	CC	_	2	cc	_	_
2	La	_	PROPN	NNP	_	0	root	_	_
3	La.	_	PROPN	NNP	_	2	flat	_	_",
and La La.,verb,"1	and	_	_	_	_	2	cc	_	_
2	La	_	_	_	_	0	conj	_	_
3	La.	_	_	_	_	2	flat	_	_","1	and	_	CCONJ	CC	_	2	cc	_	_
2	La	_	PROPN	NNP	_	0	root	_	_
3	La.	_	PROPN	NNP	_	2	flat	_	_",
a La La got lovely hair like you .,determiner,"1	a	_	_	_	_	3	reparandum	_	_
2	La	_	_	_	_	4	nsubj	_	_
3	La	_	_	_	_	4	nsubj	_	_
4	got	_	_	_	_	0	root	_	_
5	lovely	_	_	_	_	6	amod	_	_
6	hair	_	_	_	_	4	obj	_	_
7	like	_	_	_	_	8	case	_	_
8	you	_	_	_	_	6	nmod	_	_
9	.	_	_	_	_	4	punct	_	_","1	a	_	DET	DT	_	2	det	_	_
2	La	_	PROPN	NNP	_	4	nsubj	_	_
3	La	_	PROPN	NNP	_	2	flat	_	_
4	got	_	VERB	VBD	_	0	root	_	_
5	lovely	_	ADJ	JJ	_	6	amod	_	_
6	hair	_	NOUN	NN	_	4	obj	_	_
7	like	_	ADP	IN	_	8	case	_	_
8	you	_	PRON	PRP	_	4	obl	_	_
9	.	_	PUNCT	.	_	4	punct	_	_",
powder powder .,determiner,"1	powder	_	_	_	_	0	root	_	_
2	powder	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	powder	_	NOUN	NN	_	2	compound	_	_
2	powder	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
um um the kids get on the preschool .,"tense_aspect, preposition","1	um	_	_	_	_	5	discourse	_	_
2	um	_	_	_	_	1	conj	_	_
3	the	_	_	_	_	4	det	_	_
4	kids	_	_	_	_	5	nsubj	_	_
5	get	_	_	_	_	0	root	_	_
6	on	_	_	_	_	8	case	_	_
7	the	_	_	_	_	8	det	_	_
8	preschool	_	_	_	_	5	obl	_	_
9	.	_	_	_	_	5	punct	_	_","1	um	_	INTJ	UH	_	5	discourse	_	_
2	um	_	INTJ	UH	_	5	discourse	_	_
3	the	_	DET	DT	_	4	det	_	_
4	kids	_	NOUN	NNS	_	5	nsubj	_	_
5	get	_	VERB	VBP	_	0	root	_	_
6	on	_	ADP	IN	_	8	case	_	_
7	the	_	DET	DT	_	8	det	_	_
8	preschool	_	NOUN	NN	_	5	obl	_	_
9	.	_	PUNCT	.	_	5	punct	_	_",
the boy going to get a band - aid .,present_progressive,"1	the	_	_	_	_	2	det	_	_
2	boy	_	_	_	_	3	nsubj	_	_
3	going	_	_	_	_	0	root	_	_
4	to	_	_	_	_	5	mark	_	_
5	get	_	_	_	_	3	xcomp	_	_
6	a	_	_	_	_	9	det	_	_
7	band	_	_	_	_	9	compound	_	_
8	-	_	_	_	_	9	compound	_	_
9	aid	_	_	_	_	5	obj	_	_
10	.	_	_	_	_	3	punct	_	_","1	the	_	DET	DT	_	2	det	_	_
2	boy	_	NOUN	NN	_	3	nsubj	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	to	_	PART	TO	_	5	mark	_	_
5	get	_	VERB	VB	_	3	xcomp	_	_
6	a	_	DET	DT	_	9	det	_	_
7	band	_	NOUN	NN	_	9	compound	_	_
8	-	_	PUNCT	HYPH	_	7	punct	_	_
9	aid	_	NOUN	NN	_	5	obj	_	_
10	.	_	PUNCT	.	_	3	punct	_	_",
the the snow going to be on the ground .,auxiliary,"1	the	_	_	_	_	2	reparandum	_	_
2	the	_	_	_	_	3	det	_	_
3	snow	_	_	_	_	4	nsubj	_	_
4	going	_	_	_	_	0	root	_	_
5	to	_	_	_	_	9	mark	_	_
6	be	_	_	_	_	9	cop	_	_
7	on	_	_	_	_	9	case	_	_
8	the	_	_	_	_	9	det	_	_
9	ground	_	_	_	_	4	xcomp	_	_
10	.	_	_	_	_	4	punct	_	_","1	the	_	DET	DT	_	3	det	_	_
2	the	_	DET	DT	_	3	det	_	_
3	snow	_	NOUN	NN	_	4	nsubj	_	_
4	going	_	VERB	VBG	_	0	root	_	_
5	to	_	PART	TO	_	9	mark	_	_
6	be	_	AUX	VB	_	9	cop	_	_
7	on	_	ADP	IN	_	9	case	_	_
8	the	_	DET	DT	_	9	det	_	_
9	ground	_	NOUN	NN	_	4	xcomp	_	_
10	.	_	PUNCT	.	_	4	punct	_	_",
he fall down again .,tense_aspect,"1	he	_	_	_	_	2	nsubj	_	_
2	fall	_	_	_	_	0	root	_	_
3	down	_	_	_	_	2	advmod	_	_
4	again	_	_	_	_	2	advmod	_	_
5	.	_	_	_	_	2	punct	_	_","1	he	_	PRON	PRP	_	2	nsubj	_	_
2	fall	_	VERB	VBP	_	0	root	_	_
3	down	_	ADP	RP	_	2	compound:prt	_	_
4	again	_	ADV	RB	_	2	advmod	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
the the car the white car going to get the tractor .,tense_aspect,"1	the	_	_	_	_	2	reparandum	_	_
2	the	_	_	_	_	3	det	_	_
3	car	_	_	_	_	0	root	_	_
4	the	_	_	_	_	6	det	_	_
5	white	_	_	_	_	6	amod	_	_
6	car	_	_	_	_	7	nsubj	_	_
7	going	_	_	_	_	3	parataxis	_	_
8	to	_	_	_	_	9	mark	_	_
9	get	_	_	_	_	7	xcomp	_	_
10	the	_	_	_	_	11	det	_	_
11	tractor	_	_	_	_	9	obj	_	_
12	.	_	_	_	_	3	punct	_	_","1	the	_	DET	DT	_	3	det	_	_
2	the	_	DET	DT	_	3	det	_	_
3	car	_	NOUN	NN	_	7	nsubj	_	_
4	the	_	DET	DT	_	6	det	_	_
5	white	_	ADJ	JJ	_	6	amod	_	_
6	car	_	NOUN	NN	_	7	nsubj	_	_
7	going	_	VERB	VBG	_	0	root	_	_
8	to	_	PART	TO	_	9	mark	_	_
9	get	_	VERB	VB	_	7	advcl	_	_
10	the	_	DET	DT	_	11	det	_	_
11	tractor	_	NOUN	NN	_	9	obj	_	_
12	.	_	PUNCT	.	_	7	punct	_	_",
the tractor the tractor the race car's going to fall the tractor .,preposition,"1	the	_	_	_	_	2	det	_	_
2	tractor	_	_	_	_	0	root	_	_
3	the	_	_	_	_	4	det	_	_
4	tractor	_	_	_	_	2	conj	_	_
5	the	_	_	_	_	7	det	_	_
6	race	_	_	_	_	7	compound	_	_
7	car's	_	_	_	_	8	nsubj	_	_
8	going	_	_	_	_	2	parataxis	_	_
9	to	_	_	_	_	10	mark	_	_
10	fall	_	_	_	_	8	xcomp	_	_
11	the	_	_	_	_	12	det	_	_
12	tractor	_	_	_	_	2	parataxis	_	_
13	.	_	_	_	_	2	punct	_	_","1	the	_	DET	DT	_	2	det	_	_
2	tractor	_	NOUN	NN	_	9	nsubj	_	_
3	the	_	DET	DT	_	4	det	_	_
4	tractor	_	NOUN	NN	_	9	obj	_	_
5	the	_	DET	DT	_	7	det	_	_
6	race	_	NOUN	NN	_	7	compound	_	_
7	car	_	NOUN	NN	_	9	nsubj	_	_
8	's	_	AUX	VBZ	_	9	aux	_	_
9	going	_	VERB	VBG	_	0	root	_	_
10	to	_	PART	TO	_	11	mark	_	_
11	fall	_	VERB	VB	_	9	xcomp	_	_
12	the	_	DET	DT	_	13	det	_	_
13	tractor	_	NOUN	NN	_	11	obj	_	_
14	.	_	PUNCT	.	_	9	punct	_	_",
the Hulk Doctor David Banner take his shirt off and be the be the Hulk .,"tense_aspect, other","1	the	_	_	_	_	2	det	_	_
2	Hulk	_	_	_	_	0	root	_	_
3	Doctor	_	_	_	_	6	nsubj	_	_
4	David	_	_	_	_	3	flat	_	_
5	Banner	_	_	_	_	3	flat	_	_
6	take	_	_	_	_	2	parataxis	_	_
7	his	_	_	_	_	8	nmod:poss	_	_
8	shirt	_	_	_	_	6	obj	_	_
9	off	_	_	_	_	6	compound:prt	_	_
10	and	_	_	_	_	15	cc	_	_
11	be	_	_	_	_	15	cop	_	_
12	the	_	_	_	_	15	reparandum	_	_
13	be	_	_	_	_	15	cop	_	_
14	the	_	_	_	_	15	det	_	_
15	Hulk	_	_	_	_	6	conj	_	_
16	.	_	_	_	_	2	punct	_	_","1	the	_	DET	DT	_	3	det	_	_
2	Hulk	_	PROPN	NNP	_	3	compound	_	_
3	Doctor	_	PROPN	NNP	_	6	nsubj	_	_
4	David	_	PROPN	NNP	_	3	flat	_	_
5	Banner	_	PROPN	NNP	_	3	flat	_	_
6	take	_	VERB	VB	_	0	root	_	_
7	his	_	PRON	PRP$	_	8	nmod:poss	_	_
8	shirt	_	NOUN	NN	_	6	obj	_	_
9	off	_	ADP	RP	_	6	compound:prt	_	_
10	and	_	CCONJ	CC	_	15	cc	_	_
11	be	_	AUX	VB	_	15	cop	_	_
12	the	_	DET	DT	_	15	det	_	_
13	be	_	AUX	VB	_	15	cop	_	_
14	the	_	DET	DT	_	15	det	_	_
15	Hulk	_	PROPN	NNP	_	6	conj	_	_
16	.	_	PUNCT	.	_	6	punct	_	_",
he going to put up the man up on the air .,"auxiliary, preposition","1	he	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	to	_	_	_	_	4	mark	_	_
4	put	_	_	_	_	2	xcomp	_	_
5	up	_	_	_	_	4	compound:prt	_	_
6	the	_	_	_	_	7	det	_	_
7	man	_	_	_	_	4	obj	_	_
8	up	_	_	_	_	11	advmod	_	_
9	on	_	_	_	_	11	case	_	_
10	the	_	_	_	_	11	det	_	_
11	air	_	_	_	_	4	obl	_	_
12	.	_	_	_	_	2	punct	_	_","1	he	_	PRON	PRP	_	2	nsubj	_	_
2	going	_	VERB	VBG	_	0	root	_	_
3	to	_	PART	TO	_	4	mark	_	_
4	put	_	VERB	VB	_	2	xcomp	_	_
5	up	_	ADP	RP	_	4	compound:prt	_	_
6	the	_	DET	DT	_	7	det	_	_
7	man	_	NOUN	NN	_	4	obj	_	_
8	up	_	ADP	RP	_	4	compound:prt	_	_
9	on	_	ADP	IN	_	11	case	_	_
10	the	_	DET	DT	_	11	det	_	_
11	air	_	NOUN	NN	_	4	obl	_	_
12	.	_	PUNCT	.	_	2	punct	_	_",
pick up the pick up on the air .,"subject, tense_aspect, object","1	pick	_	_	_	_	4	reparandum	_	_
2	up	_	_	_	_	1	compound:prt	_	_
3	the	_	_	_	_	4	reparandum	_	_
4	pick	_	_	_	_	0	root	_	_
5	up	_	_	_	_	4	compound:prt	_	_
6	on	_	_	_	_	8	case	_	_
7	the	_	_	_	_	8	det	_	_
8	air	_	_	_	_	4	obl	_	_
9	.	_	_	_	_	4	punct	_	_","1	pick	_	VERB	VB	_	0	root	_	_
2	up	_	ADP	RP	_	1	compound:prt	_	_
3	the	_	DET	DT	_	4	det	_	_
4	pick	_	NOUN	NN	_	1	obj	_	_
5	up	_	ADP	RP	_	1	compound:prt	_	_
6	on	_	ADP	IN	_	8	case	_	_
7	the	_	DET	DT	_	8	det	_	_
8	air	_	NOUN	NN	_	1	obl	_	_
9	.	_	PUNCT	.	_	1	punct	_	_",
pick up pick up the air .,"subject, tense_aspect","1	pick	_	_	_	_	3	reparandum	_	_
2	up	_	_	_	_	1	compound:prt	_	_
3	pick	_	_	_	_	0	root	_	_
4	up	_	_	_	_	3	compound:prt	_	_
5	the	_	_	_	_	6	det	_	_
6	air	_	_	_	_	3	obj	_	_
7	.	_	_	_	_	3	punct	_	_","1	pick	_	VERB	VB	_	0	root	_	_
2	up	_	ADP	RP	_	1	compound:prt	_	_
3	pick	_	VERB	VB	_	1	xcomp	_	_
4	up	_	ADP	RP	_	3	compound:prt	_	_
5	the	_	DET	DT	_	6	det	_	_
6	air	_	NOUN	NN	_	3	obj	_	_
7	.	_	PUNCT	.	_	1	punct	_	_",
