Sentence,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
there's some ice cream .,"1	there's	_	_	_	_	0	root	_	_
2	some	_	_	_	_	4	det	_	_
3	ice	_	_	_	_	4	compound	_	_
4	cream	_	_	_	_	1	nsubj	_	_
5	.	_	_	_	_	1	punct	_	_","1	there	_	PRON	EX	_	2	expl	_	_
2	's	_	VERB	VBZ	_	0	root	_	_
3	some	_	DET	DT	_	5	det	_	_
4	ice	_	NOUN	NN	_	5	compound	_	_
5	cream	_	NOUN	NN	_	2	nsubj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
the lamb is going to eat the ice cream all up .,"1	the	_	_	_	_	2	det	_	_
2	lamb	_	_	_	_	4	nsubj	_	_
3	is	_	_	_	_	4	aux	_	_
4	going	_	_	_	_	0	root	_	_
5	to	_	_	_	_	6	mark	_	_
6	eat	_	_	_	_	4	xcomp	_	_
7	the	_	_	_	_	9	det	_	_
8	ice	_	_	_	_	9	compound	_	_
9	cream	_	_	_	_	6	obj	_	_
10	all	_	_	_	_	11	advmod	_	_
11	up	_	_	_	_	6	advmod	_	_
12	.	_	_	_	_	4	punct	_	_","1	the	_	DET	DT	_	2	det	_	_
2	lamb	_	NOUN	NN	_	4	nsubj	_	_
3	is	_	AUX	VBZ	_	4	aux	_	_
4	going	_	VERB	VBG	_	0	root	_	_
5	to	_	PART	TO	_	6	mark	_	_
6	eat	_	VERB	VB	_	4	xcomp	_	_
7	the	_	DET	DT	_	9	det	_	_
8	ice	_	NOUN	NN	_	9	compound	_	_
9	cream	_	NOUN	NN	_	6	obj	_	_
10	all	_	DET	DT	_	11	det	_	_
11	up	_	ADP	RP	_	6	compound:prt	_	_
12	.	_	PUNCT	.	_	4	punct	_	_",
he's going to throw up .,"1	he's	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	to	_	_	_	_	4	mark	_	_
4	throw	_	_	_	_	2	xcomp	_	_
5	up	_	_	_	_	4	compound:prt	_	_
6	.	_	_	_	_	2	punct	_	_","1	he	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	aux	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	to	_	PART	TO	_	5	mark	_	_
5	throw	_	VERB	VB	_	3	xcomp	_	_
6	up	_	ADP	RP	_	5	compound:prt	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
where's my magnet ?,"1	where's	_	_	_	_	0	root	_	_
2	my	_	_	_	_	3	nmod:poss	_	_
3	magnet	_	_	_	_	1	nsubj	_	_
4	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	my	_	PRON	PRP$	_	4	nmod:poss	_	_
4	magnet	_	NOUN	NN	_	1	nsubj	_	_
5	?	_	PUNCT	.	_	1	punct	_	_",
peanut butter and jelly sandwich .,"1	peanut	_	_	_	_	2	compound	_	_
2	butter	_	_	_	_	5	compound	_	_
3	and	_	_	_	_	4	cc	_	_
4	jelly	_	_	_	_	2	conj	_	_
5	sandwich	_	_	_	_	0	root	_	_
6	.	_	_	_	_	5	punct	_	_","1	peanut	_	NOUN	NN	_	2	compound	_	_
2	butter	_	NOUN	NN	_	0	root	_	_
3	and	_	CCONJ	CC	_	5	cc	_	_
4	jelly	_	NOUN	NN	_	5	compound	_	_
5	sandwich	_	NOUN	NN	_	2	conj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
cause he didn't .,"1	cause	_	_	_	_	3	mark	_	_
2	he	_	_	_	_	3	nsubj	_	_
3	didn't	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	cause	_	SCONJ	IN	_	3	mark	_	_
2	he	_	PRON	PRP	_	3	nsubj	_	_
3	did	_	AUX	VBD	_	0	root	_	_
4	n't	_	PART	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
lemme see that .,"1	lemme	_	_	_	_	0	root	_	_
2	see	_	_	_	_	1	xcomp	_	_
3	that	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	lemme	_	INTJ	UH	_	2	discourse	_	_
2	see	_	VERB	VB	_	0	root	_	_
3	that	_	PRON	DT	_	2	obj	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
would you jump rope out here ?,"1	would	_	_	_	_	3	aux	_	_
2	you	_	_	_	_	3	nsubj	_	_
3	jump	_	_	_	_	0	root	_	_
4	rope	_	_	_	_	3	obj	_	_
5	out	_	_	_	_	6	advmod	_	_
6	here	_	_	_	_	3	advmod	_	_
7	?	_	_	_	_	3	punct	_	_","1	would	_	AUX	MD	_	3	aux	_	_
2	you	_	PRON	PRP	_	3	nsubj	_	_
3	jump	_	VERB	VB	_	0	root	_	_
4	rope	_	NOUN	NN	_	3	obj	_	_
5	out	_	ADP	RP	_	3	compound:prt	_	_
6	here	_	ADV	RB	_	3	advmod	_	_
7	?	_	PUNCT	.	_	3	punct	_	_",
would you jump rope out here ?,"1	would	_	_	_	_	3	aux	_	_
2	you	_	_	_	_	3	nsubj	_	_
3	jump	_	_	_	_	0	root	_	_
4	rope	_	_	_	_	3	obj	_	_
5	out	_	_	_	_	6	advmod	_	_
6	here	_	_	_	_	3	advmod	_	_
7	?	_	_	_	_	3	punct	_	_","1	would	_	AUX	MD	_	3	aux	_	_
2	you	_	PRON	PRP	_	3	nsubj	_	_
3	jump	_	VERB	VB	_	0	root	_	_
4	rope	_	NOUN	NN	_	3	obj	_	_
5	out	_	ADP	RP	_	3	compound:prt	_	_
6	here	_	ADV	RB	_	3	advmod	_	_
7	?	_	PUNCT	.	_	3	punct	_	_",
let's open it .,"1	let's	_	_	_	_	0	root	_	_
2	open	_	_	_	_	1	xcomp	_	_
3	it	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	let	_	VERB	VB	_	0	root	_	_
2	's	_	PRON	PRP	_	1	obj	_	_
3	open	_	VERB	VB	_	1	xcomp	_	_
4	it	_	PRON	PRP	_	3	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
that's a queen .,"1	that's	_	_	_	_	3	nsubj	_	_
2	a	_	_	_	_	3	det	_	_
3	queen	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	a	_	DET	DT	_	4	det	_	_
4	queen	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
I'm giving you some tape .,"1	I'm	_	_	_	_	2	nsubj	_	_
2	giving	_	_	_	_	0	root	_	_
3	you	_	_	_	_	2	iobj	_	_
4	some	_	_	_	_	5	det	_	_
5	tape	_	_	_	_	2	obj	_	_
6	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'm	_	AUX	VBP	_	3	aux	_	_
3	giving	_	VERB	VBG	_	0	root	_	_
4	you	_	PRON	PRP	_	3	iobj	_	_
5	some	_	DET	DT	_	6	det	_	_
6	tape	_	NOUN	NN	_	3	obj	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
no lemme put the tape on there .,"1	no	_	_	_	_	2	discourse	_	_
2	lemme	_	_	_	_	0	root	_	_
3	put	_	_	_	_	2	xcomp	_	_
4	the	_	_	_	_	5	det	_	_
5	tape	_	_	_	_	3	obj	_	_
6	on	_	_	_	_	7	case	_	_
7	there	_	_	_	_	3	advmod	_	_
8	.	_	_	_	_	2	punct	_	_","1	no	_	INTJ	UH	_	3	discourse	_	_
2	lemme	_	INTJ	UH	_	3	discourse	_	_
3	put	_	VERB	VB	_	0	root	_	_
4	the	_	DET	DT	_	5	det	_	_
5	tape	_	NOUN	NN	_	3	obj	_	_
6	on	_	ADP	IN	_	7	case	_	_
7	there	_	ADV	RB	_	3	obl	_	_
8	.	_	PUNCT	.	_	3	punct	_	_",
you hold this up on the wall and I put the tape on there .,"1	you	_	_	_	_	2	nsubj	_	_
2	hold	_	_	_	_	0	root	_	_
3	this	_	_	_	_	2	obj	_	_
4	up	_	_	_	_	2	advmod	_	_
5	on	_	_	_	_	7	case	_	_
6	the	_	_	_	_	7	det	_	_
7	wall	_	_	_	_	2	obl	_	_
8	and	_	_	_	_	10	cc	_	_
9	I	_	_	_	_	10	nsubj	_	_
10	put	_	_	_	_	2	conj	_	_
11	the	_	_	_	_	12	det	_	_
12	tape	_	_	_	_	10	obj	_	_
13	on	_	_	_	_	14	case	_	_
14	there	_	_	_	_	10	advmod	_	_
15	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	2	nsubj	_	_
2	hold	_	VERB	VBP	_	0	root	_	_
3	this	_	PRON	DT	_	2	obj	_	_
4	up	_	ADP	RP	_	2	compound:prt	_	_
5	on	_	ADP	IN	_	7	case	_	_
6	the	_	DET	DT	_	7	det	_	_
7	wall	_	NOUN	NN	_	2	obl	_	_
8	and	_	CCONJ	CC	_	10	cc	_	_
9	I	_	PRON	PRP	_	10	nsubj	_	_
10	put	_	VERB	VBD	_	2	conj	_	_
11	the	_	DET	DT	_	12	det	_	_
12	tape	_	NOUN	NN	_	10	obj	_	_
13	on	_	ADP	IN	_	14	case	_	_
14	there	_	ADV	RB	_	10	obl	_	_
15	.	_	PUNCT	.	_	2	punct	_	_",
the the one with the rabbit .,"1	the	_	_	_	_	2	reparandum	_	_
2	the	_	_	_	_	3	det	_	_
3	one	_	_	_	_	0	root	_	_
4	with	_	_	_	_	6	case	_	_
5	the	_	_	_	_	6	det	_	_
6	rabbit	_	_	_	_	3	nmod	_	_
7	.	_	_	_	_	3	punct	_	_","1	the	_	DET	DT	_	3	det	_	_
2	the	_	DET	DT	_	3	det	_	_
3	one	_	NOUN	NN	_	0	root	_	_
4	with	_	ADP	IN	_	6	case	_	_
5	the	_	DET	DT	_	6	det	_	_
6	rabbit	_	NOUN	NN	_	3	nmod	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
I'll open this .,"1	I'll	_	_	_	_	2	nsubj	_	_
2	open	_	_	_	_	0	root	_	_
3	this	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'll	_	AUX	MD	_	3	aux	_	_
3	open	_	VERB	VB	_	0	root	_	_
4	this	_	PRON	DT	_	3	obj	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
it's a kitty cat .,"1	it's	_	_	_	_	4	nsubj	_	_
2	a	_	_	_	_	4	det	_	_
3	kitty	_	_	_	_	4	compound	_	_
4	cat	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	a	_	DET	DT	_	5	det	_	_
4	kitty	_	NOUN	NN	_	5	compound	_	_
5	cat	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
let's put this on your head .,"1	let's	_	_	_	_	0	root	_	_
2	put	_	_	_	_	1	xcomp	_	_
3	this	_	_	_	_	2	obj	_	_
4	on	_	_	_	_	6	case	_	_
5	your	_	_	_	_	6	nmod:poss	_	_
6	head	_	_	_	_	2	obl	_	_
7	.	_	_	_	_	1	punct	_	_","1	let	_	VERB	VB	_	0	root	_	_
2	's	_	PRON	PRP	_	1	obj	_	_
3	put	_	VERB	VB	_	1	xcomp	_	_
4	this	_	PRON	DT	_	3	obj	_	_
5	on	_	ADP	IN	_	7	case	_	_
6	your	_	PRON	PRP$	_	7	nmod:poss	_	_
7	head	_	NOUN	NN	_	3	obl	_	_
8	.	_	PUNCT	.	_	1	punct	_	_",
no where's my Snoopy ?,"1	no	_	_	_	_	2	discourse	_	_
2	where's	_	_	_	_	0	root	_	_
3	my	_	_	_	_	4	nmod:poss	_	_
4	Snoopy	_	_	_	_	2	nsubj	_	_
5	?	_	_	_	_	2	punct	_	_","1	no	_	INTJ	UH	_	2	discourse	_	_
2	where	_	ADV	WRB	_	0	root	_	_
3	's	_	AUX	VBZ	_	2	cop	_	_
4	my	_	PRON	PRP$	_	5	nmod:poss	_	_
5	Snoopy	_	PROPN	NNP	_	2	nsubj	_	_
6	?	_	PUNCT	.	_	2	punct	_	_",
no where's my other Snoopy ?,"1	no	_	_	_	_	2	discourse	_	_
2	where's	_	_	_	_	0	root	_	_
3	my	_	_	_	_	5	nmod:poss	_	_
4	other	_	_	_	_	5	amod	_	_
5	Snoopy	_	_	_	_	2	nsubj	_	_
6	?	_	_	_	_	2	punct	_	_","1	no	_	INTJ	UH	_	2	discourse	_	_
2	where	_	ADV	WRB	_	0	root	_	_
3	's	_	AUX	VBZ	_	2	cop	_	_
4	my	_	PRON	PRP$	_	6	nmod:poss	_	_
5	other	_	ADJ	JJ	_	6	amod	_	_
6	Snoopy	_	PROPN	NNP	_	2	nsubj	_	_
7	?	_	PUNCT	.	_	2	punct	_	_",
would you put her hair back on ?,"1	would	_	_	_	_	3	aux	_	_
2	you	_	_	_	_	3	nsubj	_	_
3	put	_	_	_	_	0	root	_	_
4	her	_	_	_	_	5	nmod:poss	_	_
5	hair	_	_	_	_	3	obj	_	_
6	back	_	_	_	_	7	advmod	_	_
7	on	_	_	_	_	3	advmod	_	_
8	?	_	_	_	_	3	punct	_	_","1	would	_	AUX	MD	_	3	aux	_	_
2	you	_	PRON	PRP	_	3	nsubj	_	_
3	put	_	VERB	VB	_	0	root	_	_
4	her	_	PRON	PRP$	_	5	nmod:poss	_	_
5	hair	_	NOUN	NN	_	3	obj	_	_
6	back	_	ADV	RB	_	3	advmod	_	_
7	on	_	ADP	IN	_	3	advmod	_	_
8	?	_	PUNCT	.	_	3	punct	_	_",
cause it's kind of hard .,"1	cause	_	_	_	_	5	mark	_	_
2	it's	_	_	_	_	5	cop	_	_
3	kind	_	_	_	_	5	advmod	_	_
4	of	_	_	_	_	3	fixed	_	_
5	hard	_	_	_	_	0	root	_	_
6	.	_	_	_	_	5	punct	_	_","1	cause	_	SCONJ	IN	_	6	mark	_	_
2	it	_	PRON	PRP	_	6	nsubj	_	_
3	's	_	AUX	VBZ	_	6	cop	_	_
4	kind	_	NOUN	NN	_	6	advmod	_	_
5	of	_	ADP	IN	_	4	fixed	_	_
6	hard	_	ADJ	JJ	_	0	root	_	_
7	.	_	PUNCT	.	_	6	punct	_	_",
oh look what you're doing to the jump rope .,"1	oh	_	_	_	_	2	discourse	_	_
2	look	_	_	_	_	0	root	_	_
3	what	_	_	_	_	5	obj	_	_
4	you're	_	_	_	_	5	aux	_	_
5	doing	_	_	_	_	2	ccomp	_	_
6	to	_	_	_	_	9	case	_	_
7	the	_	_	_	_	9	det	_	_
8	jump	_	_	_	_	9	compound	_	_
9	rope	_	_	_	_	5	obl	_	_
10	.	_	_	_	_	2	punct	_	_","1	oh	_	INTJ	UH	_	2	discourse	_	_
2	look	_	VERB	VB	_	0	root	_	_
3	what	_	PRON	WP	_	2	obj	_	_
4	you	_	PRON	PRP	_	6	nsubj	_	_
5	're	_	AUX	VBP	_	6	aux	_	_
6	doing	_	VERB	VBG	_	3	acl:relcl	_	_
7	to	_	ADP	IN	_	10	case	_	_
8	the	_	DET	DT	_	10	det	_	_
9	jump	_	NOUN	NN	_	10	compound	_	_
10	rope	_	NOUN	NN	_	6	obl	_	_
11	.	_	PUNCT	.	_	2	punct	_	_",
Mommy can I have him ?,"1	Mommy	_	_	_	_	4	vocative	_	_
2	can	_	_	_	_	4	aux	_	_
3	I	_	_	_	_	4	nsubj	_	_
4	have	_	_	_	_	0	root	_	_
5	him	_	_	_	_	4	obj	_	_
6	?	_	_	_	_	4	punct	_	_","1	Mommy	_	PROPN	NNP	_	4	obj	_	_
2	can	_	AUX	MD	_	4	aux	_	_
3	I	_	PRON	PRP	_	4	nsubj	_	_
4	have	_	VERB	VB	_	0	root	_	_
5	him	_	PRON	PRP	_	4	obj	_	_
6	?	_	PUNCT	.	_	4	punct	_	_",
where's my dolly in the carriage ?,"1	where's	_	_	_	_	0	root	_	_
2	my	_	_	_	_	3	nmod:poss	_	_
3	dolly	_	_	_	_	1	nsubj	_	_
4	in	_	_	_	_	6	case	_	_
5	the	_	_	_	_	6	det	_	_
6	carriage	_	_	_	_	1	obl	_	_
7	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	my	_	PRON	PRP$	_	4	nmod:poss	_	_
4	dolly	_	NOUN	NN	_	1	nsubj	_	_
5	in	_	ADP	IN	_	7	case	_	_
6	the	_	DET	DT	_	7	det	_	_
7	carriage	_	NOUN	NN	_	1	obl	_	_
8	?	_	PUNCT	.	_	1	punct	_	_",
she's angry .,"1	she's	_	_	_	_	2	nsubj	_	_
2	angry	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	she	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	angry	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
get out of my house .,"1	get	_	_	_	_	0	root	_	_
2	out	_	_	_	_	5	case	_	_
3	of	_	_	_	_	5	case	_	_
4	my	_	_	_	_	5	nmod:poss	_	_
5	house	_	_	_	_	1	obl	_	_
6	.	_	_	_	_	1	punct	_	_","1	get	_	VERB	VB	_	0	root	_	_
2	out	_	ADP	IN	_	5	case	_	_
3	of	_	ADP	IN	_	2	fixed	_	_
4	my	_	PRON	PRP$	_	5	nmod:poss	_	_
5	house	_	NOUN	NN	_	1	obl	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
what else ?,"1	what	_	_	_	_	0	root	_	_
2	else	_	_	_	_	1	amod	_	_
3	?	_	_	_	_	1	punct	_	_","1	what	_	PRON	WP	_	0	root	_	_
2	else	_	ADV	RB	_	1	advmod	_	_
3	?	_	PUNCT	.	_	1	punct	_	_","1	What	what	DET	WDT	_	0	root	0:root	_
2	else	else	ADJ	JJ	_	1	amod	1:amod	SpaceAfter=No
3	?	?	PUNCT	?	_	1	punct	1:punct	_
"
I wanna go outside and play .,"1	I	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	go	_	_	_	_	2	xcomp	_	_
4	outside	_	_	_	_	3	advmod	_	_
5	and	_	_	_	_	6	cc	_	_
6	play	_	_	_	_	3	conj	_	_
7	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	go	_	VERB	VB	_	2	xcomp	_	_
5	outside	_	ADV	RB	_	4	advmod	_	_
6	and	_	CCONJ	CC	_	7	cc	_	_
7	play	_	VERB	VB	_	4	conj	_	_
8	.	_	PUNCT	.	_	2	punct	_	_",
is it time to go to sleep ?,"1	is	_	_	_	_	3	cop	_	_
2	it	_	_	_	_	3	nsubj	_	_
3	time	_	_	_	_	0	root	_	_
4	to	_	_	_	_	5	mark	_	_
5	go	_	_	_	_	3	acl	_	_
6	to	_	_	_	_	7	case	_	_
7	sleep	_	_	_	_	5	obl	_	_
8	?	_	_	_	_	3	punct	_	_","1	is	_	AUX	VBZ	_	3	cop	_	_
2	it	_	PRON	PRP	_	3	expl	_	_
3	time	_	NOUN	NN	_	0	root	_	_
4	to	_	PART	TO	_	5	mark	_	_
5	go	_	VERB	VB	_	3	acl	_	_
6	to	_	ADP	IN	_	7	case	_	_
7	sleep	_	NOUN	NN	_	5	obl	_	_
8	?	_	PUNCT	.	_	3	punct	_	_",
no I'm going to tie it up again .,"1	no	_	_	_	_	3	discourse	_	_
2	I'm	_	_	_	_	3	nsubj	_	_
3	going	_	_	_	_	0	root	_	_
4	to	_	_	_	_	5	mark	_	_
5	tie	_	_	_	_	3	xcomp	_	_
6	it	_	_	_	_	5	obj	_	_
7	up	_	_	_	_	5	compound:prt	_	_
8	again	_	_	_	_	5	advmod	_	_
9	.	_	_	_	_	3	punct	_	_","1	no	_	INTJ	UH	_	4	discourse	_	_
2	I	_	PRON	PRP	_	4	nsubj	_	_
3	'm	_	AUX	VBP	_	4	aux	_	_
4	going	_	VERB	VBG	_	0	root	_	_
5	to	_	PART	TO	_	6	mark	_	_
6	tie	_	VERB	VB	_	4	xcomp	_	_
7	it	_	PRON	PRP	_	6	obj	_	_
8	up	_	ADP	RP	_	6	compound:prt	_	_
9	again	_	ADV	RB	_	6	advmod	_	_
10	.	_	PUNCT	.	_	4	punct	_	_",
I wanna tie this finger up .,"1	I	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	tie	_	_	_	_	2	xcomp	_	_
4	this	_	_	_	_	5	det	_	_
5	finger	_	_	_	_	3	obj	_	_
6	up	_	_	_	_	3	compound:prt	_	_
7	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	tie	_	VERB	VB	_	2	xcomp	_	_
5	this	_	DET	DT	_	6	det	_	_
6	finger	_	NOUN	NN	_	4	obj	_	_
7	up	_	ADP	RP	_	4	compound:prt	_	_
8	.	_	PUNCT	.	_	2	punct	_	_",
give them to me .,"1	give	_	_	_	_	0	root	_	_
2	them	_	_	_	_	1	obj	_	_
3	to	_	_	_	_	4	case	_	_
4	me	_	_	_	_	1	obl	_	_
5	.	_	_	_	_	1	punct	_	_","1	give	_	VERB	VB	_	0	root	_	_
2	them	_	PRON	PRP	_	1	iobj	_	_
3	to	_	ADP	IN	_	4	case	_	_
4	me	_	PRON	PRP	_	1	obl	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
give them to me .,"1	give	_	_	_	_	0	root	_	_
2	them	_	_	_	_	1	obj	_	_
3	to	_	_	_	_	4	case	_	_
4	me	_	_	_	_	1	obl	_	_
5	.	_	_	_	_	1	punct	_	_","1	give	_	VERB	VB	_	0	root	_	_
2	them	_	PRON	PRP	_	1	iobj	_	_
3	to	_	ADP	IN	_	4	case	_	_
4	me	_	PRON	PRP	_	1	obl	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
you wanna whistle ?,"1	you	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	whistle	_	_	_	_	2	xcomp	_	_
4	?	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	whistle	_	VERB	VB	_	2	xcomp	_	_
5	?	_	PUNCT	.	_	2	punct	_	_",
um um .,"1	um	_	_	_	_	0	root	_	_
2	um	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	um	_	INTJ	UH	_	0	root	_	_
2	um	_	INTJ	UH	_	1	discourse	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
I wanna whistle .,"1	I	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	whistle	_	_	_	_	2	xcomp	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	whistle	_	VERB	VB	_	2	xcomp	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
I wanna hear a whistle .,"1	I	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	hear	_	_	_	_	2	xcomp	_	_
4	a	_	_	_	_	5	det	_	_
5	whistle	_	_	_	_	3	obj	_	_
6	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	hear	_	VERB	VB	_	2	xcomp	_	_
5	a	_	DET	DT	_	6	det	_	_
6	whistle	_	NOUN	NN	_	4	obj	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
I wanna whistle .,"1	I	_	_	_	_	2	nsubj	_	_
2	wanna	_	_	_	_	0	root	_	_
3	whistle	_	_	_	_	2	xcomp	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	wan	_	VERB	VBP	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	whistle	_	VERB	VB	_	2	xcomp	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
it's about a cave .,"1	it's	_	_	_	_	4	cop	_	_
2	about	_	_	_	_	4	case	_	_
3	a	_	_	_	_	4	det	_	_
4	cave	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	about	_	ADP	IN	_	5	case	_	_
4	a	_	DET	DT	_	5	det	_	_
5	cave	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
yeah this going to be a a you have to do this first .,"1	yeah	_	_	_	_	3	discourse	_	_
2	this	_	_	_	_	3	nsubj	_	_
3	going	_	_	_	_	0	root	_	_
4	to	_	_	_	_	7	mark	_	_
5	be	_	_	_	_	7	cop	_	_
6	a	_	_	_	_	7	det	_	_
7	a	_	_	_	_	3	xcomp	_	_
8	you	_	_	_	_	9	nsubj	_	_
9	have	_	_	_	_	3	parataxis	_	_
10	to	_	_	_	_	11	mark	_	_
11	do	_	_	_	_	9	xcomp	_	_
12	this	_	_	_	_	11	obj	_	_
13	first	_	_	_	_	11	advmod	_	_
14	.	_	_	_	_	3	punct	_	_","1	yeah	_	INTJ	UH	_	3	discourse	_	_
2	this	_	PRON	DT	_	3	nsubj	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	to	_	PART	TO	_	7	mark	_	_
5	be	_	AUX	VB	_	7	cop	_	_
6	a	_	DET	DT	_	7	det	_	_
7	a	_	DET	DT	_	3	xcomp	_	_
8	you	_	PRON	PRP	_	9	nsubj	_	_
9	have	_	VERB	VBP	_	3	ccomp	_	_
10	to	_	PART	TO	_	11	mark	_	_
11	do	_	VERB	VB	_	9	xcomp	_	_
12	this	_	PRON	DT	_	11	obj	_	_
13	first	_	ADJ	JJ	_	11	advmod	_	_
14	.	_	PUNCT	.	_	3	punct	_	_",
I have a I have a I need some more paint .,"1	I	_	_	_	_	2	nsubj	_	_
2	have	_	_	_	_	0	root	_	_
3	a	_	_	_	_	2	obj	_	_
4	I	_	_	_	_	5	nsubj	_	_
5	have	_	_	_	_	2	parataxis	_	_
6	a	_	_	_	_	5	obj	_	_
7	I	_	_	_	_	8	nsubj	_	_
8	need	_	_	_	_	2	parataxis	_	_
9	some	_	_	_	_	11	det	_	_
10	more	_	_	_	_	11	amod	_	_
11	paint	_	_	_	_	8	obj	_	_
12	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	have	_	VERB	VBP	_	0	root	_	_
3	a	_	DET	DT	_	2	obj	_	_
4	I	_	PRON	PRP	_	5	nsubj	_	_
5	have	_	VERB	VBP	_	2	ccomp	_	_
6	a	_	DET	DT	_	5	obj	_	_
7	I	_	PRON	PRP	_	8	nsubj	_	_
8	need	_	VERB	VBP	_	2	parataxis	_	_
9	some	_	DET	DT	_	11	det	_	_
10	more	_	ADJ	JJR	_	11	amod	_	_
11	paint	_	NOUN	NN	_	8	obj	_	_
12	.	_	PUNCT	.	_	2	punct	_	_",
