# sentence: Thomas what 's the matter what 's the matter ?
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=5, label=vocative
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: The dustbin man can what that noise ?
Gold: token=The, upos=DET, xpos=DT, head=3, label=det
Pred: token=The, upos=DET, xpos=DT, head=3, label=det
Gold: token=dustbin, upos=NOUN, xpos=NN, head=3, label=compound
Pred: token=dustbin, upos=NOUN, xpos=NN, head=3, label=compound
Gold: token=man, upos=NOUN, xpos=NN, head=4, label=nsubj
Pred: token=man, upos=NOUN, xpos=NN, head=4, label=nsubj
Gold: token=can, upos=AUX, xpos=MD, head=0, label=root
Pred: token=can, upos=AUX, xpos=MD, head=0, label=root
Gold: token=what, upos=PRON, xpos=WP, head=4, label=parataxis
Pred: token=what, upos=PRON, xpos=WP, head=4, label=obj
Gold: token=that, upos=DET, xpos=DT, head=7, label=det
Pred: token=that, upos=DET, xpos=DT, head=7, label=det
Gold: token=noise, upos=NOUN, xpos=NN, head=5, label=nsubj
Pred: token=noise, upos=NOUN, xpos=NN, head=5, label=nsubj
Gold: token=?, upos=PUNCT, xpos=?, head=4, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=4, label=punct
------------------------------------------------------------

# sentence: Oh bout crisps .
Gold: token=Oh, upos=INTJ, xpos=UH, head=3, label=intj
Pred: token=Oh, upos=INTJ, xpos=UH, head=3, label=discourse
Gold: token=bout, upos=NOUN, xpos=NN, head=3, label=case
Pred: token=bout, upos=NOUN, xpos=NN, head=3, label=compound
Gold: token=crisps, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=crisps, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Your where your hold that .
Gold: token=Your, upos=PRON, xpos=PRP$, head=2, label=reparandum
Pred: token=Your, upos=PRON, xpos=PRP$, head=4, label=nsubj
Gold: token=where, upos=ADV, xpos=WRB, head=4, label=advmod
Pred: token=where, upos=ADV, xpos=WRB, head=4, label=advmod
Gold: token=your, upos=PRON, xpos=PRP$, head=4, label=nsubj
Pred: token=your, upos=PRON, xpos=PRP$, head=4, label=nsubj
Gold: token=hold, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=hold, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=that, upos=PRON, xpos=WDT, head=4, label=obj
Pred: token=that, upos=PRON, xpos=DT, head=4, label=obj
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: You my friend .
Gold: token=You, upos=PRON, xpos=PRP, head=0, label=root
Pred: token=You, upos=PRON, xpos=PRP, head=3, label=nsubj
Gold: token=my, upos=PRON, xpos=PRP$, head=3, label=poss
Pred: token=my, upos=PRON, xpos=PRP$, head=3, label=poss
Gold: token=friend, upos=NOUN, xpos=NN, head=1, label=appos
Pred: token=friend, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: No just going phss .
Gold: token=No, upos=ADV, xpos=RB, head=3, label=discourse
Pred: token=No, upos=INTJ, xpos=UH, head=3, label=discourse
Gold: token=just, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=just, upos=ADV, xpos=RB, head=3, label=advmod
Gold: token=going, upos=VERB, xpos=VBG, head=0, label=root
Pred: token=going, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=phss, upos=ADV, xpos=RB, head=3, label=discourse
Pred: token=phss, upos=NOUN, xpos=NN, head=3, label=obj
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: No you my sweetheart .
Gold: token=No, upos=INTJ, xpos=UH, head=2, label=intj
Pred: token=No, upos=DET, xpos=DT, head=4, label=discourse
Gold: token=you, upos=PRON, xpos=PRP, head=0, label=root
Pred: token=you, upos=PRON, xpos=PRP, head=4, label=nsubj
Gold: token=my, upos=PRON, xpos=PRP$, head=4, label=poss
Pred: token=my, upos=PRON, xpos=PRP$, head=4, label=poss
Gold: token=sweetheart, upos=NOUN, xpos=NN, head=2, label=appos
Pred: token=sweetheart, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: No a call me .
Gold: token=No, upos=INTJ, xpos=UH, head=3, label=intj
Pred: token=No, upos=DET, xpos=DT, head=3, label=discourse
Gold: token=a, upos=DET, xpos=DT, head=3, label=discourse
Pred: token=a, upos=DET, xpos=DT, head=3, label=discourse
Gold: token=call, upos=VERB, xpos=VB, head=0, label=root
Pred: token=call, upos=VERB, xpos=VB, head=0, label=root
Gold: token=me, upos=PRON, xpos=PRP, head=3, label=obj
Pred: token=me, upos=PRON, xpos=PRP, head=3, label=obj
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Just little snakes and big crocodiles and some some chocolate mice and pink pigs .
Gold: token=Just, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=Just, upos=ADV, xpos=RB, head=3, label=advmod
Gold: token=little, upos=ADJ, xpos=JJ, head=3, label=amod
Pred: token=little, upos=ADJ, xpos=JJ, head=3, label=amod
Gold: token=snakes, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=snakes, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=and, upos=CCONJ, xpos=CC, head=6, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=6, label=cc
Gold: token=big, upos=ADJ, xpos=JJ, head=6, label=amod
Pred: token=big, upos=ADJ, xpos=JJ, head=6, label=amod
Gold: token=crocodiles, upos=NOUN, xpos=NNS, head=3, label=conj
Pred: token=crocodiles, upos=NOUN, xpos=NNS, head=3, label=conj
Gold: token=and, upos=CCONJ, xpos=CC, head=11, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=11, label=cc
Gold: token=some, upos=DET, xpos=DT, head=9, label=reparandum
Pred: token=some, upos=DET, xpos=DT, head=11, label=det
Gold: token=some, upos=DET, xpos=DT, head=11, label=det
Pred: token=some, upos=DET, xpos=DT, head=11, label=det
Gold: token=chocolate, upos=NOUN, xpos=NN, head=11, label=compound
Pred: token=chocolate, upos=NOUN, xpos=NN, head=11, label=compound
Gold: token=mice, upos=NOUN, xpos=NNS, head=3, label=conj
Pred: token=mice, upos=NOUN, xpos=NNS, head=3, label=conj
Gold: token=and, upos=CCONJ, xpos=CC, head=14, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=14, label=cc
Gold: token=pink, upos=NOUN, xpos=NN, head=14, label=amod
Pred: token=pink, upos=ADJ, xpos=JJ, head=14, label=amod
Gold: token=pigs, upos=NOUN, xpos=NNS, head=3, label=conj
Pred: token=pigs, upos=NOUN, xpos=NNS, head=3, label=conj
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: I my your nana darling .
Gold: token=I, upos=PRON, xpos=PRP, head=2, label=reparandum
Pred: token=I, upos=PRON, xpos=PRP, head=4, label=nsubj
Gold: token=my, upos=PRON, xpos=PRP$, head=3, label=reparandum
Pred: token=my, upos=PRON, xpos=PRP$, head=3, label=reparandum
Gold: token=your, upos=PRON, xpos=PRP$, head=4, label=poss
Pred: token=your, upos=PRON, xpos=PRP$, head=4, label=poss
Gold: token=nana, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=nana, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=darling, upos=NOUN, xpos=NN, head=4, label=vocative
Pred: token=darling, upos=NOUN, xpos=NN, head=4, label=conj
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: What is that on there ?
Gold: token=What, upos=PRON, xpos=WP, head=0, label=root
Pred: token=What, upos=PRON, xpos=WP, head=0, label=root
Gold: token=is, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=that, upos=PRON, xpos=DT, head=1, label=nsubj
Pred: token=that, upos=PRON, xpos=DT, head=1, label=nsubj
Gold: token=on, upos=ADP, xpos=IN, head=5, label=case
Pred: token=on, upos=ADP, xpos=IN, head=5, label=case
Gold: token=there, upos=ADV, xpos=RB, head=3, label=nmod
Pred: token=there, upos=ADV, xpos=RB, head=1, label=obl
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: You a you be a front Julian be a back .
Gold: token=You, upos=PRON, xpos=PRP, head=3, label=reparandum
Pred: token=You, upos=PRON, xpos=PRP, head=2, label=nsubj
Gold: token=a, upos=AUX, xpos=MD, head=3, label=discourse
Pred: token=a, upos=DET, xpos=DT, head=6, label=reparandum
Gold: token=you, upos=PRON, xpos=PRP, head=6, label=nsubj
Pred: token=you, upos=PRON, xpos=PRP, head=6, label=nsubj
Gold: token=be, upos=AUX, xpos=VB, head=6, label=cop
Pred: token=be, upos=AUX, xpos=VB, head=6, label=cop
Gold: token=a, upos=DET, xpos=DT, head=6, label=det
Pred: token=a, upos=DET, xpos=DT, head=6, label=det
Gold: token=front, upos=ADJ, xpos=JJ, head=0, label=root
Pred: token=front, upos=NOUN, xpos=NN, head=10, label=compound
Gold: token=Julian, upos=PROPN, xpos=NNP, head=6, label=vocative
Pred: token=Julian, upos=PROPN, xpos=NNP, head=10, label=nsubj
Gold: token=be, upos=AUX, xpos=VB, head=10, label=cop
Pred: token=be, upos=AUX, xpos=VB, head=10, label=cop
Gold: token=a, upos=DET, xpos=DT, head=10, label=det
Pred: token=a, upos=DET, xpos=DT, head=10, label=det
Gold: token=back, upos=NOUN, xpos=NN, head=6, label=parataxis
Pred: token=back, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=6, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Train go up and down and fall off the bridge .
Gold: token=Train, upos=VERB, xpos=VB, head=2, label=nsubj
Pred: token=Train, upos=NOUN, xpos=NN, head=2, label=nsubj
Gold: token=go, upos=VERB, xpos=VB, head=0, label=root
Pred: token=go, upos=VERB, xpos=VB, head=0, label=root
Gold: token=up, upos=ADV, xpos=RB, head=2, label=advmod
Pred: token=up, upos=ADV, xpos=RB, head=2, label=advmod
Gold: token=and, upos=CCONJ, xpos=CC, head=5, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=5, label=cc
Gold: token=down, upos=ADV, xpos=RB, head=3, label=conj
Pred: token=down, upos=ADV, xpos=RB, head=3, label=conj
Gold: token=and, upos=CCONJ, xpos=CC, head=7, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=7, label=cc
Gold: token=fall, upos=VERB, xpos=VB, head=2, label=conj
Pred: token=fall, upos=VERB, xpos=VB, head=2, label=conj
Gold: token=off, upos=ADP, xpos=RP, head=10, label=case
Pred: token=off, upos=ADP, xpos=IN, head=10, label=case
Gold: token=the, upos=DET, xpos=DT, head=10, label=det
Pred: token=the, upos=DET, xpos=DT, head=10, label=det
Gold: token=bridge, upos=NOUN, xpos=NN, head=7, label=obl
Pred: token=bridge, upos=NOUN, xpos=NN, head=7, label=obl
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Po has some red .
Gold: token=Po, upos=PROPN, xpos=NNP, head=2, label=nsubj
Pred: token=Po, upos=NOUN, xpos=NN, head=2, label=nsubj
Gold: token=has, upos=VERB, xpos=VBZ, head=0, label=root
Pred: token=has, upos=VERB, xpos=VBZ, head=0, label=root
Gold: token=some, upos=DET, xpos=DT, head=4, label=det
Pred: token=some, upos=DET, xpos=DT, head=4, label=det
Gold: token=red, upos=NOUN, xpos=NN, head=2, label=obj
Pred: token=red, upos=NOUN, xpos=NN, head=2, label=obj
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Out came the dustbin men and drive for the dustbin .
Gold: token=Out, upos=ADV, xpos=RB, head=2, label=advmod
Pred: token=Out, upos=ADV, xpos=RB, head=2, label=advmod
Gold: token=came, upos=VERB, xpos=VBD, head=0, label=root
Pred: token=came, upos=VERB, xpos=VBD, head=0, label=root
Gold: token=the, upos=DET, xpos=DT, head=5, label=det
Pred: token=the, upos=DET, xpos=DT, head=5, label=det
Gold: token=dustbin, upos=NOUN, xpos=NN, head=5, label=compound
Pred: token=dustbin, upos=NOUN, xpos=NN, head=5, label=compound
Gold: token=men, upos=NOUN, xpos=NNS, head=2, label=nsubj
Pred: token=men, upos=NOUN, xpos=NNS, head=2, label=obj
Gold: token=and, upos=CCONJ, xpos=CC, head=7, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=7, label=cc
Gold: token=drive, upos=VERB, xpos=VBP, head=2, label=conj
Pred: token=drive, upos=VERB, xpos=VB, head=2, label=conj
Gold: token=for, upos=ADP, xpos=IN, head=10, label=case
Pred: token=for, upos=ADP, xpos=IN, head=10, label=case
Gold: token=the, upos=DET, xpos=DT, head=10, label=det
Pred: token=the, upos=DET, xpos=DT, head=10, label=det
Gold: token=dustbin, upos=NOUN, xpos=NN, head=7, label=obl
Pred: token=dustbin, upos=NOUN, xpos=NN, head=7, label=obl
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Your got it in in bed .
Gold: token=Your, upos=PRON, xpos=PRP$, head=2, label=nsubj
Pred: token=Your, upos=PRON, xpos=PRP$, head=2, label=nsubj
Gold: token=got, upos=VERB, xpos=VBD, head=0, label=root
Pred: token=got, upos=VERB, xpos=VBD, head=0, label=root
Gold: token=it, upos=PRON, xpos=PRP, head=2, label=obj
Pred: token=it, upos=PRON, xpos=PRP, head=2, label=obj
Gold: token=in, upos=ADV, xpos=RB, head=5, label=reparandum
Pred: token=in, upos=ADP, xpos=IN, head=2, label=prt
Gold: token=in, upos=ADP, xpos=IN, head=6, label=case
Pred: token=in, upos=ADP, xpos=IN, head=6, label=case
Gold: token=bed, upos=NOUN, xpos=NN, head=2, label=obl
Pred: token=bed, upos=NOUN, xpos=NN, head=2, label=obl
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Um um just lemonade .
Gold: token=Um, upos=INTJ, xpos=UH, head=4, label=intj
Pred: token=Um, upos=INTJ, xpos=UH, head=4, label=discourse
Gold: token=um, upos=INTJ, xpos=UH, head=1, label=conj
Pred: token=um, upos=INTJ, xpos=UH, head=1, label=conj
Gold: token=just, upos=ADV, xpos=RB, head=4, label=advmod
Pred: token=just, upos=ADV, xpos=RB, head=4, label=advmod
Gold: token=lemonade, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=lemonade, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: Your goted get .
Gold: token=Your, upos=PRON, xpos=PRP$, head=2, label=nsubj
Pred: token=Your, upos=PRON, xpos=PRP$, head=2, label=poss
Gold: token=goted, upos=ADJ, xpos=JJ, head=0, label=root
Pred: token=goted, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=get, upos=VERB, xpos=VBP, head=2, label=parataxis
Pred: token=get, upos=VERB, xpos=VB, head=2, label=compound
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Your got in in it bed .
Gold: token=Your, upos=PRON, xpos=PRP$, head=2, label=nsubj
Pred: token=Your, upos=PRON, xpos=PRP$, head=2, label=nsubj
Gold: token=got, upos=VERB, xpos=VBD, head=0, label=root
Pred: token=got, upos=VERB, xpos=VBD, head=0, label=root
Gold: token=in, upos=ADV, xpos=RB, head=4, label=reparandum
Pred: token=in, upos=ADV, xpos=RB, head=2, label=advmod
Gold: token=in, upos=ADP, xpos=IN, head=5, label=case
Pred: token=in, upos=ADP, xpos=IN, head=6, label=case
Gold: token=it, upos=PRON, xpos=PRP, head=2, label=obl
Pred: token=it, upos=PRON, xpos=PRP, head=2, label=obl
Gold: token=bed, upos=NOUN, xpos=NN, head=5, label=appos
Pred: token=bed, upos=NOUN, xpos=NN, head=2, label=obl
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Dipsy has some green .
Gold: token=Dipsy, upos=PROPN, xpos=NNP, head=2, label=nsubj
Pred: token=Dipsy, upos=PROPN, xpos=NNP, head=2, label=nsubj
Gold: token=has, upos=VERB, xpos=VBZ, head=0, label=root
Pred: token=has, upos=VERB, xpos=VBZ, head=0, label=root
Gold: token=some, upos=DET, xpos=DT, head=4, label=det
Pred: token=some, upos=DET, xpos=DT, head=4, label=det
Gold: token=green, upos=ADJ, xpos=JJ, head=2, label=obj
Pred: token=green, upos=NOUN, xpos=NN, head=2, label=obj
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Climbed up all again .
Gold: token=Climbed, upos=VERB, xpos=VBD, head=0, label=root
Pred: token=Climbed, upos=VERB, xpos=VBD, head=0, label=root
Gold: token=up, upos=ADV, xpos=RB, head=1, label=advmod
Pred: token=up, upos=ADP, xpos=RP, head=1, label=prt
Gold: token=all, upos=ADV, xpos=RB, head=4, label=advmod
Pred: token=all, upos=DET, xpos=DT, head=1, label=advmod
Gold: token=again, upos=ADV, xpos=RB, head=1, label=advmod
Pred: token=again, upos=ADV, xpos=RB, head=1, label=advmod
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=1, label=punct
------------------------------------------------------------

# sentence: Need you a wash up .
Gold: token=Need, upos=VERB, xpos=VBP, head=0, label=root
Pred: token=Need, upos=VERB, xpos=VBP, head=0, label=root
Gold: token=you, upos=PRON, xpos=PRP, head=1, label=obj
Pred: token=you, upos=PRON, xpos=PRP, head=1, label=obj
Gold: token=a, upos=DET, xpos=DT, head=5, label=det
Pred: token=a, upos=DET, xpos=DT, head=4, label=det
Gold: token=wash, upos=NOUN, xpos=NN, head=5, label=compound
Pred: token=wash, upos=NOUN, xpos=NN, head=1, label=xcomp
Gold: token=up, upos=ADP, xpos=RP, head=1, label=xcomp
Pred: token=up, upos=ADP, xpos=RP, head=4, label=prt
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=1, label=punct
------------------------------------------------------------

# sentence: Purdie has got stuck bed .
Gold: token=Purdie, upos=PROPN, xpos=NNP, head=3, label=nsubj
Pred: token=Purdie, upos=PROPN, xpos=NNP, head=3, label=nsubj
Gold: token=has, upos=AUX, xpos=VBZ, head=3, label=aux
Pred: token=has, upos=AUX, xpos=VBZ, head=3, label=aux
Gold: token=got, upos=VERB, xpos=VBN, head=0, label=root
Pred: token=got, upos=VERB, xpos=VBN, head=0, label=root
Gold: token=stuck, upos=ADJ, xpos=JJ, head=3, label=xcomp
Pred: token=stuck, upos=VERB, xpos=VBN, head=5, label=amod
Gold: token=bed, upos=NOUN, xpos=NN, head=4, label=obl
Pred: token=bed, upos=NOUN, xpos=NN, head=3, label=obj
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: I eat my I not need those Krispies .
Gold: token=I, upos=PRON, xpos=PRP, head=2, label=nsubj
Pred: token=I, upos=PRON, xpos=PRP, head=2, label=nsubj
Gold: token=eat, upos=VERB, xpos=VBP, head=0, label=root
Pred: token=eat, upos=VERB, xpos=VBP, head=0, label=root
Gold: token=my, upos=PRON, xpos=PRP$, head=2, label=obj
Pred: token=my, upos=PRON, xpos=PRP$, head=2, label=obj
Gold: token=I, upos=PRON, xpos=PRP, head=6, label=nsubj
Pred: token=I, upos=PRON, xpos=PRP, head=6, label=nsubj
Gold: token=not, upos=PART, xpos=RB, head=6, label=advmod
Pred: token=not, upos=PART, xpos=RB, head=6, label=advmod
Gold: token=need, upos=VERB, xpos=VBP, head=2, label=parataxis
Pred: token=need, upos=VERB, xpos=VB, head=2, label=parataxis
Gold: token=those, upos=DET, xpos=DT, head=8, label=det
Pred: token=those, upos=DET, xpos=DT, head=8, label=det
Gold: token=Krispies, upos=NOUN, xpos=NNS, head=6, label=obj
Pred: token=Krispies, upos=PROPN, xpos=NNP, head=6, label=obj
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: I say dear oh Dora dat dear Dora .
Gold: token=I, upos=PRON, xpos=PRP, head=2, label=nsubj
Pred: token=I, upos=PRON, xpos=PRP, head=2, label=nsubj
Gold: token=say, upos=VERB, xpos=VBP, head=0, label=root
Pred: token=say, upos=VERB, xpos=VBP, head=0, label=root
Gold: token=dear, upos=ADJ, xpos=JJ, head=2, label=ccomp
Pred: token=dear, upos=ADJ, xpos=JJ, head=2, label=obj
Gold: token=oh, upos=INTJ, xpos=UH, head=3, label=intj
Pred: token=oh, upos=INTJ, xpos=UH, head=5, label=discourse
Gold: token=Dora, upos=PROPN, xpos=NNP, head=3, label=vocative
Pred: token=Dora, upos=PROPN, xpos=NNP, head=2, label=vocative
Gold: token=dat, upos=DET, xpos=DT, head=8, label=det
Pred: token=dat, upos=INTJ, xpos=UH, head=5, label=nsubj
Gold: token=dear, upos=ADJ, xpos=JJ, head=8, label=amod
Pred: token=dear, upos=ADJ, xpos=JJ, head=2, label=vocative
Gold: token=Dora, upos=PROPN, xpos=NNP, head=3, label=parataxis
Pred: token=Dora, upos=PROPN, xpos=NNP, head=7, label=conj
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: All you saying is the church on fire .
Gold: token=All, upos=DET, xpos=DT, head=6, label=nsubj
Pred: token=All, upos=DET, xpos=DT, head=3, label=obj
Gold: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Pred: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Gold: token=saying, upos=VERB, xpos=VBG, head=1, label=relcl
Pred: token=saying, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=is, upos=AUX, xpos=VBZ, head=6, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=3, label=ccomp
Gold: token=the, upos=DET, xpos=DT, head=6, label=det
Pred: token=the, upos=DET, xpos=DT, head=6, label=det
Gold: token=church, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=church, upos=NOUN, xpos=NN, head=3, label=obj
Gold: token=on, upos=ADP, xpos=IN, head=8, label=case
Pred: token=on, upos=ADP, xpos=IN, head=8, label=case
Gold: token=fire, upos=NOUN, xpos=NN, head=6, label=nmod
Pred: token=fire, upos=NOUN, xpos=NN, head=3, label=obl
Gold: token=., upos=PUNCT, xpos=., head=6, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: All you saying is the crocodile .
Gold: token=All, upos=DET, xpos=DT, head=6, label=nsubj
Pred: token=All, upos=DET, xpos=DT, head=3, label=obj
Gold: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Pred: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Gold: token=saying, upos=VERB, xpos=VBG, head=1, label=relcl
Pred: token=saying, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=is, upos=AUX, xpos=VBZ, head=6, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=6, label=cop
Gold: token=the, upos=DET, xpos=DT, head=6, label=det
Pred: token=the, upos=DET, xpos=DT, head=6, label=det
Gold: token=crocodile, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=crocodile, upos=NOUN, xpos=NN, head=3, label=ccomp
Gold: token=., upos=PUNCT, xpos=., head=6, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: All you saying is a policeman .
Gold: token=All, upos=DET, xpos=DT, head=6, label=nsubj
Pred: token=All, upos=DET, xpos=DT, head=3, label=obj
Gold: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Pred: token=you, upos=PRON, xpos=PRP, head=3, label=nsubj
Gold: token=saying, upos=VERB, xpos=VBG, head=1, label=relcl
Pred: token=saying, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=is, upos=AUX, xpos=VBZ, head=6, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=6, label=cop
Gold: token=a, upos=DET, xpos=DT, head=6, label=det
Pred: token=a, upos=DET, xpos=DT, head=6, label=det
Gold: token=policeman, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=policeman, upos=NOUN, xpos=NN, head=3, label=ccomp
Gold: token=., upos=PUNCT, xpos=., head=6, label=punct
Pred: token=., upos=PUNCT, xpos=., head=6, label=punct
------------------------------------------------------------

# sentence: And all you saying is Isabelle 's christening .
Gold: token=And, upos=CCONJ, xpos=CC, head=8, label=cc
Pred: token=And, upos=CCONJ, xpos=CC, head=4, label=cc
Gold: token=all, upos=DET, xpos=DT, head=8, label=nsubj
Pred: token=all, upos=DET, xpos=DT, head=4, label=obj
Gold: token=you, upos=PRON, xpos=PRP, head=4, label=nsubj
Pred: token=you, upos=PRON, xpos=PRP, head=4, label=nsubj
Gold: token=saying, upos=VERB, xpos=VBG, head=2, label=relcl
Pred: token=saying, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=is, upos=AUX, xpos=VBZ, head=8, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=8, label=cop
Gold: token=Isabelle, upos=PROPN, xpos=NNP, head=8, label=poss
Pred: token=Isabelle, upos=PROPN, xpos=NNP, head=8, label=poss
Gold: token='s, upos=PART, xpos=POS, head=6, label=case
Pred: token='s, upos=PART, xpos=POS, head=6, label=case
Gold: token=christening, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=christening, upos=NOUN, xpos=NN, head=4, label=ccomp
Gold: token=., upos=PUNCT, xpos=., head=8, label=punct
Pred: token=., upos=PUNCT, xpos=., head=8, label=punct
------------------------------------------------------------

# sentence: All your say Isabelle .
Gold: token=All, upos=DET, xpos=PDT, head=3, label=advmod
Pred: token=All, upos=DET, xpos=PDT, head=3, label=advmod
Gold: token=your, upos=PRON, xpos=PRP$, head=3, label=nsubj
Pred: token=your, upos=PRON, xpos=PRP$, head=3, label=nsubj
Gold: token=say, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=say, upos=VERB, xpos=VB, head=0, label=root
Gold: token=Isabelle, upos=PROPN, xpos=NNP, head=3, label=parataxis
Pred: token=Isabelle, upos=PROPN, xpos=NNP, head=3, label=obj
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
