Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
help help .,"help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	VERB	VB	_	_	0	root	_	_
help	_	VERB	VB	_	_	1	xcomp	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
poop poop poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
poop	_	_	_	_	_	1	conj	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	nsubj	_	_
poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	4	compound	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Dadda chair .,"Dadda	_	_	_	_	_	2	nmod:poss	_	_
chair	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","Dadda	_	_	_	_	_	2	compound	_	_
chair	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","Dadda	_	PROPN	NNP	_	_	2	compound	_	_
chair	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
poop poop poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
poop	_	_	_	_	_	1	conj	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	nsubj	_	_
poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	4	compound	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	4	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
is there is dog food .,"is	_	_	_	_	_	3	reparandum	_	_
there	_	_	_	_	_	3	expl	_	_
is	_	_	_	_	_	0	root	_	_
dog	_	_	_	_	_	5	compound	_	_
food	_	_	_	_	_	3	nsubj	_	_
.	_	_	_	_	_	3	punct	_	_","is	_	_	_	_	_	3	cop	_	_
there	_	_	_	_	_	3	expl	_	_
is	_	_	_	_	_	0	root	_	_
dog	_	_	_	_	_	5	compound	_	_
food	_	_	_	_	_	3	nsubj	_	_
.	_	_	_	_	_	3	punct	_	_","is	_	AUX	VBZ	_	_	3	cop	_	_
there	_	PRON	EX	_	_	3	expl	_	_
is	_	VERB	VBZ	_	_	0	root	_	_
dog	_	NOUN	NN	_	_	5	compound	_	_
food	_	NOUN	NN	_	_	3	nsubj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
he's eating it .,"he's	_	_	_	_	_	2	nsubj	_	_
eating	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","he's	_	_	_	_	_	2	nsubj	_	_
eating	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","he	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
eating	_	VERB	VBG	_	_	0	root	_	_
it	_	PRON	PRP	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
yum yum yum yum .,"yum	_	_	_	_	_	0	root	_	_
yum	_	_	_	_	_	1	conj	_	_
yum	_	_	_	_	_	1	conj	_	_
yum	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","yum	_	_	_	_	_	0	root	_	_
yum	_	_	_	_	_	1	discourse	_	_
yum	_	_	_	_	_	4	discourse	_	_
yum	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","yum	_	INTJ	UH	_	_	2	discourse	_	_
yum	_	NOUN	NN	_	_	0	root	_	_
yum	_	NOUN	NN	_	_	4	compound	_	_
yum	_	NOUN	NN	_	_	2	vocative	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
it's a noun .,"it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
noun	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
noun	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
noun	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
you sit you sit on this chair right here .,"you	_	_	_	_	_	2	nsubj	_	_
sit	_	_	_	_	_	4	reparandum	_	_
you	_	_	_	_	_	4	nsubj	_	_
sit	_	_	_	_	_	0	root	_	_
on	_	_	_	_	_	7	case	_	_
this	_	_	_	_	_	7	det	_	_
chair	_	_	_	_	_	4	obl	_	_
right	_	_	_	_	_	9	advmod	_	_
here	_	_	_	_	_	7	advmod	_	_
.	_	_	_	_	_	4	punct	_	_","you	_	_	_	_	_	2	nsubj	_	_
sit	_	_	_	_	_	4	reparandum	_	_
you	_	_	_	_	_	4	nsubj	_	_
sit	_	_	_	_	_	0	root	_	_
on	_	_	_	_	_	7	case	_	_
this	_	_	_	_	_	7	det	_	_
chair	_	_	_	_	_	4	obl	_	_
right	_	_	_	_	_	9	advmod	_	_
here	_	_	_	_	_	7	advmod	_	_
.	_	_	_	_	_	4	punct	_	_","you	_	PRON	PRP	_	_	2	nsubj	_	_
sit	_	VERB	VBP	_	_	0	root	_	_
you	_	PRON	PRP	_	_	4	nsubj	_	_
sit	_	VERB	VBP	_	_	2	ccomp	_	_
on	_	ADP	IN	_	_	7	case	_	_
this	_	DET	DT	_	_	7	det	_	_
chair	_	NOUN	NN	_	_	4	obl	_	_
right	_	ADV	RB	_	_	9	advmod	_	_
here	_	ADV	RB	_	_	4	advmod	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
hot hot hot .,"hot	_	_	_	_	_	0	root	_	_
hot	_	_	_	_	_	1	conj	_	_
hot	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","hot	_	_	_	_	_	0	root	_	_
hot	_	_	_	_	_	3	amod	_	_
hot	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	3	punct	_	_","hot	_	ADJ	JJ	_	_	3	amod	_	_
hot	_	ADJ	JJ	_	_	3	amod	_	_
hot	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
don't bend him .,"don't	_	_	_	_	_	2	aux	_	_
bend	_	_	_	_	_	0	root	_	_
him	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","don't	_	_	_	_	_	2	advmod	_	_
bend	_	_	_	_	_	0	root	_	_
him	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","do	_	AUX	VB	_	_	3	aux	_	_
n't	_	PART	RB	_	_	3	advmod	_	_
bend	_	VERB	VB	_	_	0	root	_	_
him	_	PRON	PRP	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
he doesn't like nothing to eat .,"he	_	_	_	_	_	3	nsubj	_	_
doesn't	_	_	_	_	_	3	aux	_	_
like	_	_	_	_	_	0	root	_	_
nothing	_	_	_	_	_	3	obj	_	_
to	_	_	_	_	_	6	mark	_	_
eat	_	_	_	_	_	4	acl	_	_
.	_	_	_	_	_	3	punct	_	_","he	_	_	_	_	_	3	nsubj	_	_
doesn't	_	_	_	_	_	3	advmod	_	_
like	_	_	_	_	_	0	root	_	_
nothing	_	_	_	_	_	3	obj	_	_
to	_	_	_	_	_	6	mark	_	_
eat	_	_	_	_	_	4	acl	_	_
.	_	_	_	_	_	3	punct	_	_","he	_	PRON	PRP	_	_	4	nsubj	_	_
does	_	AUX	VBZ	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
like	_	VERB	VB	_	_	0	root	_	_
nothing	_	PRON	NN	_	_	4	obj	_	_
to	_	PART	TO	_	_	7	mark	_	_
eat	_	VERB	VB	_	_	5	acl	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
no with the rabbit .,"no	_	_	_	_	_	4	discourse	_	_
with	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
rabbit	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","no	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
rabbit	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	INTJ	UH	_	_	4	discourse	_	_
with	_	ADP	IN	_	_	4	case	_	_
the	_	DET	DT	_	_	4	det	_	_
rabbit	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
I'm going to give it back to him when I get done drawing this picture for Thanksgiving and and and this picture for trickortreat .,"I'm	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
give	_	_	_	_	_	2	xcomp	_	_
it	_	_	_	_	_	4	obj	_	_
back	_	_	_	_	_	4	advmod	_	_
to	_	_	_	_	_	8	case	_	_
him	_	_	_	_	_	4	obl	_	_
when	_	_	_	_	_	11	mark	_	_
I	_	_	_	_	_	11	nsubj	_	_
get	_	_	_	_	_	4	advcl	_	_
done	_	_	_	_	_	4	advcl	_	_
drawing	_	_	_	_	_	4	advcl	_	_
this	_	_	_	_	_	15	det	_	_
picture	_	_	_	_	_	13	obj	_	_
for	_	_	_	_	_	17	case	_	_
Thanksgiving	_	_	_	_	_	15	nmod	_	_
and	_	_	_	_	_	20	reparandum	_	_
and	_	_	_	_	_	20	reparandum	_	_
and	_	_	_	_	_	22	cc	_	_
this	_	_	_	_	_	22	det	_	_
picture	_	_	_	_	_	15	conj	_	_
for	_	_	_	_	_	24	case	_	_
trickortreat	_	_	_	_	_	22	nmod	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	aux	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
give	_	_	_	_	_	2	xcomp	_	_
it	_	_	_	_	_	4	obj	_	_
back	_	_	_	_	_	4	advmod	_	_
to	_	_	_	_	_	8	case	_	_
him	_	_	_	_	_	4	obl	_	_
when	_	_	_	_	_	11	advmod	_	_
I	_	_	_	_	_	11	nsubj	_	_
get	_	_	_	_	_	4	advcl	_	_
done	_	_	_	_	_	11	xcomp	_	_
drawing	_	_	_	_	_	12	xcomp	_	_
this	_	_	_	_	_	15	det	_	_
picture	_	_	_	_	_	13	obj	_	_
for	_	_	_	_	_	17	case	_	_
Thanksgiving	_	_	_	_	_	13	obl	_	_
and	_	_	_	_	_	22	cc	_	_
and	_	_	_	_	_	22	cc	_	_
and	_	_	_	_	_	22	cc	_	_
this	_	_	_	_	_	22	det	_	_
picture	_	_	_	_	_	15	conj	_	_
for	_	_	_	_	_	24	case	_	_
trickortreat	_	_	_	_	_	22	orphan	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'm	_	AUX	VBP	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	5	mark	_	_
give	_	VERB	VB	_	_	3	xcomp	_	_
it	_	PRON	PRP	_	_	5	obj	_	_
back	_	ADV	RB	_	_	5	advmod	_	_
to	_	ADP	IN	_	_	9	case	_	_
him	_	PRON	PRP	_	_	5	obl	_	_
when	_	ADV	WRB	_	_	13	advmod	_	_
I	_	PRON	PRP	_	_	13	nsubj:pass	_	_
get	_	AUX	VBP	_	_	13	aux:pass	_	_
done	_	VERB	VBN	_	_	5	advcl	_	_
drawing	_	VERB	VBG	_	_	13	advcl	_	_
this	_	DET	DT	_	_	16	det	_	_
picture	_	NOUN	NN	_	_	14	obj	_	_
for	_	ADP	IN	_	_	18	case	_	_
Thanksgiving	_	PROPN	NNP	_	_	14	obl	_	_
and	_	CCONJ	CC	_	_	23	cc	_	_
and	_	CCONJ	CC	_	_	23	cc	_	_
and	_	CCONJ	CC	_	_	23	cc	_	_
this	_	DET	DT	_	_	23	det	_	_
picture	_	NOUN	NN	_	_	18	conj	_	_
for	_	ADP	IN	_	_	25	case	_	_
trickortreat	_	NOUN	NN	_	_	23	nmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
no fashed like these .,"no	_	_	_	_	_	2	discourse	_	_
fashed	_	_	_	_	_	0	root	_	_
like	_	_	_	_	_	4	case	_	_
these	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	_	_	_	_	2	det	_	_
fashed	_	_	_	_	_	0	root	_	_
like	_	_	_	_	_	4	case	_	_
these	_	_	_	_	_	2	nmod	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	DET	DT	_	_	2	det	_	_
fashed	_	ADJ	JJ	_	_	0	root	_	_
like	_	ADP	IN	_	_	4	case	_	_
these	_	PRON	DT	_	_	2	obl	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
what's pickles ?,"what's	_	_	_	_	_	0	root	_	_
pickles	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","what's	_	_	_	_	_	2	cop	_	_
pickles	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	2	punct	_	_","what	_	PRON	WP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
pickles	_	NOUN	NNS	_	_	0	root	_	_
?	_	PUNCT	.	_	_	3	punct	_	_"
know I'm a artist ?,"know	_	_	_	_	_	0	root	_	_
I'm	_	_	_	_	_	4	cop	_	_
a	_	_	_	_	_	4	det	_	_
artist	_	_	_	_	_	1	ccomp	_	_
?	_	_	_	_	_	1	punct	_	_","know	_	_	_	_	_	0	root	_	_
I'm	_	_	_	_	_	4	cop	_	_
a	_	_	_	_	_	4	det	_	_
artist	_	_	_	_	_	1	ccomp	_	_
?	_	_	_	_	_	1	punct	_	_","know	_	VERB	VBP	_	_	0	root	_	_
I	_	PRON	PRP	_	_	5	nsubj	_	_
'm	_	AUX	VBP	_	_	5	cop	_	_
a	_	DET	DT	_	_	5	det	_	_
artist	_	NOUN	NN	_	_	1	ccomp	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
uhhuh then wear it again okay ?,"uhhuh	_	_	_	_	_	3	discourse	_	_
then	_	_	_	_	_	3	advmod	_	_
wear	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
again	_	_	_	_	_	3	advmod	_	_
okay	_	_	_	_	_	3	discourse	_	_
?	_	_	_	_	_	3	punct	_	_","uhhuh	_	_	_	_	_	3	discourse	_	_
then	_	_	_	_	_	3	advmod	_	_
wear	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
again	_	_	_	_	_	3	advmod	_	_
okay	_	_	_	_	_	3	discourse	_	_
?	_	_	_	_	_	3	punct	_	_","uhhuh	_	INTJ	UH	_	_	3	discourse	_	_
then	_	ADV	RB	_	_	3	advmod	_	_
wear	_	VERB	VB	_	_	0	root	_	_
it	_	PRON	PRP	_	_	3	obj	_	_
again	_	ADV	RB	_	_	3	advmod	_	_
okay	_	ADJ	JJ	_	_	3	advmod	_	_
?	_	PUNCT	.	_	_	3	punct	_	_"
you hot when you wear long sleeves ?,"you	_	_	_	_	_	2	nsubj	_	_
hot	_	_	_	_	_	0	root	_	_
when	_	_	_	_	_	5	mark	_	_
you	_	_	_	_	_	5	nsubj	_	_
wear	_	_	_	_	_	2	advcl	_	_
long	_	_	_	_	_	7	amod	_	_
sleeves	_	_	_	_	_	5	obj	_	_
?	_	_	_	_	_	2	punct	_	_","you	_	_	_	_	_	2	nsubj	_	_
hot	_	_	_	_	_	0	root	_	_
when	_	_	_	_	_	5	advmod	_	_
you	_	_	_	_	_	5	nsubj	_	_
wear	_	_	_	_	_	2	advcl	_	_
long	_	_	_	_	_	7	amod	_	_
sleeves	_	_	_	_	_	5	obj	_	_
?	_	_	_	_	_	2	punct	_	_","you	_	PRON	PRP	_	_	2	nsubj	_	_
hot	_	ADJ	JJ	_	_	0	root	_	_
when	_	ADV	WRB	_	_	5	advmod	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
wear	_	VERB	VBP	_	_	2	advcl	_	_
long	_	ADJ	JJ	_	_	7	amod	_	_
sleeves	_	NOUN	NNS	_	_	5	obj	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
where's this is the seven okay ?,"where's	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	1	nsubj	_	_
is	_	_	_	_	_	5	cop	_	_
the	_	_	_	_	_	5	det	_	_
seven	_	_	_	_	_	1	parataxis	_	_
okay	_	_	_	_	_	5	discourse	_	_
?	_	_	_	_	_	5	punct	_	_","where's	_	_	_	_	_	5	reparandum	_	_
this	_	_	_	_	_	5	nsubj	_	_
is	_	_	_	_	_	5	cop	_	_
the	_	_	_	_	_	5	det	_	_
seven	_	_	_	_	_	0	root	_	_
okay	_	_	_	_	_	5	discourse	_	_
?	_	_	_	_	_	5	punct	_	_","where	_	ADV	WRB	_	_	7	advmod	_	_
's	_	AUX	VBZ	_	_	7	cop	_	_
this	_	PRON	DT	_	_	7	nsubj	_	_
is	_	AUX	VBZ	_	_	7	cop	_	_
the	_	DET	DT	_	_	7	det	_	_
seven	_	NUM	CD	_	_	7	nummod	_	_
okay	_	ADJ	JJ	_	_	0	root	_	_
?	_	PUNCT	.	_	_	7	punct	_	_"
that all ?,"that	_	_	_	_	_	2	nsubj	_	_
all	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	2	punct	_	_","that	_	_	_	_	_	2	nsubj	_	_
all	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	2	punct	_	_","that	_	SCONJ	IN	_	_	2	mark	_	_
all	_	DET	DT	_	_	0	root	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
I need to go tee tee .,"I	_	_	_	_	_	2	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
go	_	_	_	_	_	2	xcomp	_	_
tee	_	_	_	_	_	6	compound	_	_
tee	_	_	_	_	_	4	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	2	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
go	_	_	_	_	_	2	xcomp	_	_
tee	_	_	_	_	_	6	compound	_	_
tee	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
need	_	VERB	VBP	_	_	0	root	_	_
to	_	PART	TO	_	_	4	mark	_	_
go	_	VERB	VB	_	_	2	xcomp	_	_
tee	_	NOUN	NN	_	_	6	compound	_	_
tee	_	NOUN	NN	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
hunhunh know what he did ?,"hunhunh	_	_	_	_	_	2	discourse	_	_
know	_	_	_	_	_	0	root	_	_
what	_	_	_	_	_	5	obj	_	_
he	_	_	_	_	_	5	nsubj	_	_
did	_	_	_	_	_	2	ccomp	_	_
?	_	_	_	_	_	2	punct	_	_","hunhunh	_	_	_	_	_	2	discourse	_	_
know	_	_	_	_	_	0	root	_	_
what	_	_	_	_	_	2	obj	_	_
he	_	_	_	_	_	5	nsubj	_	_
did	_	_	_	_	_	3	acl:relcl	_	_
?	_	_	_	_	_	2	punct	_	_","hunhunh	_	INTJ	UH	_	_	2	discourse	_	_
know	_	VERB	VB	_	_	0	root	_	_
what	_	PRON	WP	_	_	2	obj	_	_
he	_	PRON	PRP	_	_	5	nsubj	_	_
did	_	VERB	VBD	_	_	3	acl:relcl	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
remember Greg at school ?,"remember	_	_	_	_	_	0	root	_	_
Greg	_	_	_	_	_	1	obj	_	_
at	_	_	_	_	_	4	case	_	_
school	_	_	_	_	_	1	obl	_	_
?	_	_	_	_	_	1	punct	_	_","remember	_	_	_	_	_	0	root	_	_
Greg	_	_	_	_	_	1	obj	_	_
at	_	_	_	_	_	4	case	_	_
school	_	_	_	_	_	2	nmod	_	_
?	_	_	_	_	_	1	punct	_	_","remember	_	VERB	VB	_	_	0	root	_	_
Greg	_	PROPN	NNP	_	_	1	obj	_	_
at	_	ADP	IN	_	_	4	case	_	_
school	_	NOUN	NN	_	_	1	obl	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
go back go backwards .,"go	_	_	_	_	_	0	root	_	_
back	_	_	_	_	_	1	advmod	_	_
go	_	_	_	_	_	1	parataxis	_	_
backwards	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","go	_	_	_	_	_	0	root	_	_
back	_	_	_	_	_	1	advmod	_	_
go	_	_	_	_	_	1	parataxis	_	_
backwards	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","go	_	VERB	VB	_	_	0	root	_	_
back	_	ADV	RB	_	_	1	advmod	_	_
go	_	VERB	VB	_	_	1	xcomp	_	_
backwards	_	ADV	RB	_	_	3	advmod	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
