Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
"your chip's on fire , Aunty Mabel .","your	_	_	_	_	_	2	nmod:poss	_	_
chip's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
fire	_	_	_	_	_	0	root	_	_
,	_	_	_	_	_	4	discourse	_	_
Aunty	_	_	_	_	_	4	vocative	_	_
Mabel	_	_	_	_	_	6	flat	_	_
.	_	_	_	_	_	4	punct	_	_","your	_	_	_	_	_	2	nmod:poss	_	_
chip's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
fire	_	_	_	_	_	0	root	_	_
,	_	_	_	_	_	7	punct	_	_
Aunty	_	_	_	_	_	7	nmod:desc	_	_
Mabel	_	_	_	_	_	4	vocative	_	_
.	_	_	_	_	_	4	punct	_	_","your	_	PRON	PRP$	_	_	2	nmod:poss	_	_
chip	_	NOUN	NN	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
on	_	ADP	IN	_	_	5	case	_	_
fire	_	NOUN	NN	_	_	0	root	_	_
,	_	PUNCT	,	_	_	7	punct	_	_
Aunty	_	PROPN	NNP	_	_	5	vocative	_	_
Mabel	_	PROPN	NNP	_	_	7	flat	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
that's Mummy's laugh .,"that's	_	_	_	_	_	3	cop	_	_
Mummy's	_	_	_	_	_	3	nmod:poss	_	_
laugh	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that's	_	_	_	_	_	3	cop	_	_
Mummy's	_	_	_	_	_	3	nmod:poss	_	_
laugh	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that	_	PRON	DT	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
Mummy	_	PROPN	NNP	_	_	5	nmod:poss	_	_
's	_	PART	POS	_	_	3	case	_	_
laugh	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
oh yes yes .,"oh	_	_	_	_	_	0	root	_	_
yes	_	_	_	_	_	1	discourse	_	_
yes	_	_	_	_	_	2	conj	_	_
.	_	_	_	_	_	1	punct	_	_","oh	_	_	_	_	_	0	root	_	_
yes	_	_	_	_	_	1	discourse	_	_
yes	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","oh	_	INTJ	UH	_	_	2	discourse	_	_
yes	_	INTJ	UH	_	_	3	discourse	_	_
yes	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
it's a fire .,"it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
fire	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
fire	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
fire	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
it's a fire .,"it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
fire	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
fire	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
fire	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
no no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	3	discourse	_	_
no	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
"Mummy , it's upside down .","Mummy	_	_	_	_	_	5	vocative	_	_
,	_	_	_	_	_	4	fixed	_	_
it's	_	_	_	_	_	5	nsubj	_	_
upside	_	_	_	_	_	0	root	_	_
down	_	_	_	_	_	4	fixed	_	_
.	_	_	_	_	_	4	punct	_	_","Mummy	_	_	_	_	_	5	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
it's	_	_	_	_	_	5	nsubj	_	_
upside	_	_	_	_	_	5	compound	_	_
down	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	5	punct	_	_","Mummy	_	NOUN	NN	_	_	5	vocative	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
upside	_	ADJ	JJ	_	_	0	root	_	_
down	_	ADP	RP	_	_	5	advmod	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
it's I'm upside down .,"it's	_	_	_	_	_	3	reparandum	_	_
I'm	_	_	_	_	_	3	cop	_	_
upside	_	_	_	_	_	0	root	_	_
down	_	_	_	_	_	3	fixed	_	_
.	_	_	_	_	_	1	punct	_	_","it's	_	_	_	_	_	4	reparandum	_	_
I'm	_	_	_	_	_	4	nsubj	_	_
upside	_	_	_	_	_	4	advmod	_	_
down	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	5	nsubj:outer	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
I	_	PRON	PRP	_	_	5	nsubj	_	_
'm	_	AUX	VBP	_	_	5	cop	_	_
upside	_	ADJ	JJ	_	_	0	root	_	_
down	_	ADP	RP	_	_	5	advmod	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
oh that's not fair .,"oh	_	_	_	_	_	4	discourse	_	_
that's	_	_	_	_	_	4	cop	_	_
not	_	_	_	_	_	4	advmod	_	_
fair	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","oh	_	_	_	_	_	4	discourse	_	_
that's	_	_	_	_	_	4	nsubj	_	_
not	_	_	_	_	_	4	advmod	_	_
fair	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","oh	_	INTJ	UH	_	_	5	discourse	_	_
that	_	PRON	DT	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
not	_	PART	RB	_	_	5	advmod	_	_
fair	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
it's a Teletubbie .,"it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
Teletubbie	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
Teletubbie	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
Teletubbie	_	PROPN	NNP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
he's eating those Smarties .,"he's	_	_	_	_	_	2	nsubj	_	_
eating	_	_	_	_	_	0	root	_	_
those	_	_	_	_	_	4	det	_	_
Smarties	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","he's	_	_	_	_	_	2	nsubj	_	_
eating	_	_	_	_	_	0	root	_	_
those	_	_	_	_	_	4	det	_	_
Smarties	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","he	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
eating	_	VERB	VBG	_	_	0	root	_	_
those	_	DET	DT	_	_	5	det	_	_
Smarties	_	PROPN	NNPS	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
I'm not .,"I'm	_	_	_	_	_	2	nsubj	_	_
not	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	nsubj	_	_
not	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
'm	_	AUX	VBP	_	_	0	root	_	_
not	_	PART	RB	_	_	2	advmod	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
where's where's Aunty Mabel ?,"where's	_	_	_	_	_	2	reparandum	_	_
where's	_	_	_	_	_	0	root	_	_
Aunty	_	_	_	_	_	2	nsubj	_	_
Mabel	_	_	_	_	_	3	flat	_	_
?	_	_	_	_	_	2	punct	_	_","where's	_	_	_	_	_	4	reparandum	_	_
where's	_	_	_	_	_	4	cop	_	_
Aunty	_	_	_	_	_	4	nmod:desc	_	_
Mabel	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	2	punct	_	_","where	_	ADV	WRB	_	_	0	root	_	_
's	_	AUX	VBZ	_	_	1	cop	_	_
where	_	ADV	WRB	_	_	1	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
Aunty	_	PROPN	NNP	_	_	3	nsubj	_	_
Mabel	_	PROPN	NNP	_	_	5	flat	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
it's that little one eating lemons .,"it's	_	_	_	_	_	4	nsubj	_	_
that	_	_	_	_	_	4	det	_	_
little	_	_	_	_	_	4	amod	_	_
one	_	_	_	_	_	0	root	_	_
eating	_	_	_	_	_	4	acl	_	_
lemons	_	_	_	_	_	5	obj	_	_
.	_	_	_	_	_	4	punct	_	_","it's	_	_	_	_	_	4	cop	_	_
that	_	_	_	_	_	4	det	_	_
little	_	_	_	_	_	4	amod	_	_
one	_	_	_	_	_	0	root	_	_
eating	_	_	_	_	_	4	acl	_	_
lemons	_	_	_	_	_	5	obj	_	_
.	_	_	_	_	_	4	punct	_	_","it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
that	_	DET	DT	_	_	5	det	_	_
little	_	ADJ	JJ	_	_	5	amod	_	_
one	_	NOUN	NN	_	_	0	root	_	_
eating	_	VERB	VBG	_	_	5	acl	_	_
lemons	_	NOUN	NNS	_	_	6	obj	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
it's a long way away .,"it's	_	_	_	_	_	4	cop	_	_
a	_	_	_	_	_	4	det	_	_
long	_	_	_	_	_	4	amod	_	_
way	_	_	_	_	_	0	root	_	_
away	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	4	punct	_	_","it's	_	_	_	_	_	5	nsubj	_	_
a	_	_	_	_	_	4	det	_	_
long	_	_	_	_	_	4	amod	_	_
way	_	_	_	_	_	5	obl:unmarked	_	_
away	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	5	punct	_	_","it	_	PRON	PRP	_	_	6	nsubj	_	_
's	_	AUX	VBZ	_	_	6	cop	_	_
a	_	DET	DT	_	_	5	det	_	_
long	_	ADJ	JJ	_	_	5	amod	_	_
way	_	NOUN	NN	_	_	6	obl:unmarked	_	_
away	_	ADV	RB	_	_	0	root	_	_
.	_	PUNCT	.	_	_	6	punct	_	_"
Postman Fireman Sam's up in the air .,"Postman	_	_	_	_	_	4	nsubj	_	_
Fireman	_	_	_	_	_	1	conj	_	_
Sam's	_	_	_	_	_	4	nsubj	_	_
up	_	_	_	_	_	0	root	_	_
in	_	_	_	_	_	7	case	_	_
the	_	_	_	_	_	7	det	_	_
air	_	_	_	_	_	4	obl	_	_
.	_	_	_	_	_	4	punct	_	_","Postman	_	_	_	_	_	2	compound	_	_
Fireman	_	_	_	_	_	3	compound	_	_
Sam's	_	_	_	_	_	7	nsubj	_	_
up	_	_	_	_	_	7	advmod	_	_
in	_	_	_	_	_	7	case	_	_
the	_	_	_	_	_	7	det	_	_
air	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	7	punct	_	_","Postman	_	PROPN	NNP	_	_	5	nsubj	_	_
Fireman	_	PROPN	NNP	_	_	1	flat	_	_
Sam	_	PROPN	NNP	_	_	1	flat	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
up	_	ADV	RB	_	_	0	root	_	_
in	_	ADP	IN	_	_	8	case	_	_
the	_	DET	DT	_	_	8	det	_	_
air	_	NOUN	NN	_	_	5	obl	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
there you are .,"there	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
.	_	_	_	_	_	1	punct	_	_","there	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
.	_	_	_	_	_	1	punct	_	_","there	_	PRON	EX	_	_	3	expl	_	_
you	_	PRON	PRP	_	_	3	nsubj	_	_
are	_	AUX	VBP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
what's that ?,"what's	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","what's	_	_	_	_	_	2	cop	_	_
that	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	2	punct	_	_","what	_	PRON	WP	_	_	0	root	_	_
's	_	AUX	VBZ	_	_	1	cop	_	_
that	_	PRON	DT	_	_	1	nsubj	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
La La's coming there .,"La	_	_	_	_	_	3	nsubj	_	_
La's	_	_	_	_	_	3	nsubj	_	_
coming	_	_	_	_	_	0	root	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","La	_	_	_	_	_	3	nsubj	_	_
La's	_	_	_	_	_	3	nsubj	_	_
coming	_	_	_	_	_	0	root	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","La	_	PROPN	NNP	_	_	4	nsubj	_	_
La	_	PROPN	NNP	_	_	1	flat	_	_
's	_	PART	POS	_	_	1	case	_	_
coming	_	VERB	VBG	_	_	0	root	_	_
there	_	ADV	RB	_	_	4	advmod	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
it's warm .,"it's	_	_	_	_	_	2	nsubj	_	_
warm	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it's	_	_	_	_	_	2	nsubj	_	_
warm	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
warm	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
they're going to sing Happy Birthday .,"they're	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
sing	_	_	_	_	_	2	xcomp	_	_
Happy	_	_	_	_	_	6	amod	_	_
Birthday	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	2	punct	_	_","they're	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
sing	_	_	_	_	_	2	xcomp	_	_
Happy	_	_	_	_	_	6	amod	_	_
Birthday	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	2	punct	_	_","they	_	PRON	PRP	_	_	3	nsubj	_	_
're	_	AUX	VBP	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	5	mark	_	_
sing	_	VERB	VB	_	_	3	xcomp	_	_
Happy	_	ADJ	JJ	_	_	7	amod	_	_
Birthday	_	PROPN	NNP	_	_	5	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
I'm the kangaroo .,"I'm	_	_	_	_	_	3	cop	_	_
the	_	_	_	_	_	3	det	_	_
kangaroo	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","I'm	_	_	_	_	_	3	cop	_	_
the	_	_	_	_	_	3	det	_	_
kangaroo	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
'm	_	AUX	VBP	_	_	4	cop	_	_
the	_	DET	DT	_	_	4	det	_	_
kangaroo	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I'm the turtle .,"I'm	_	_	_	_	_	3	cop	_	_
the	_	_	_	_	_	3	det	_	_
turtle	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","I'm	_	_	_	_	_	3	cop	_	_
the	_	_	_	_	_	3	det	_	_
turtle	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
'm	_	AUX	VBP	_	_	4	cop	_	_
the	_	DET	DT	_	_	4	det	_	_
turtle	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I'm Dinky the doggie .,"I'm	_	_	_	_	_	2	cop	_	_
Dinky	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
doggie	_	_	_	_	_	2	appos	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	cop	_	_
Dinky	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
doggie	_	_	_	_	_	2	appos	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'm	_	AUX	VBP	_	_	5	cop	_	_
Dinky	_	PROPN	NNP	_	_	5	nmod:poss	_	_
the	_	DET	DT	_	_	5	det	_	_
doggie	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
Marky's going to be Dinky .,"Marky's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	5	mark	_	_
be	_	_	_	_	_	5	cop	_	_
Dinky	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","Marky's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	5	mark	_	_
be	_	_	_	_	_	5	cop	_	_
Dinky	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","Marky	_	PROPN	NNP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	6	mark	_	_
be	_	AUX	VB	_	_	6	cop	_	_
Dinky	_	PROPN	NNP	_	_	3	xcomp	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
"no , Marky's going to be a baby .","no	_	_	_	_	_	4	discourse	_	_
,	_	_	_	_	_	4	mark	_	_
Marky's	_	_	_	_	_	4	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	8	mark	_	_
be	_	_	_	_	_	8	cop	_	_
a	_	_	_	_	_	8	det	_	_
baby	_	_	_	_	_	4	xcomp	_	_
.	_	_	_	_	_	4	punct	_	_","no	_	_	_	_	_	4	discourse	_	_
,	_	_	_	_	_	1	punct	_	_
Marky's	_	_	_	_	_	4	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	8	mark	_	_
be	_	_	_	_	_	8	cop	_	_
a	_	_	_	_	_	8	det	_	_
baby	_	_	_	_	_	4	xcomp	_	_
.	_	_	_	_	_	4	punct	_	_","no	_	INTJ	UH	_	_	5	discourse	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
Marky	_	PROPN	NNP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	9	mark	_	_
be	_	AUX	VB	_	_	9	cop	_	_
a	_	DET	DT	_	_	9	det	_	_
baby	_	NOUN	NN	_	_	5	xcomp	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
Marky's going to be a doggie .,"Marky's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	6	mark	_	_
be	_	_	_	_	_	6	cop	_	_
a	_	_	_	_	_	6	det	_	_
doggie	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","Marky's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	6	mark	_	_
be	_	_	_	_	_	6	cop	_	_
a	_	_	_	_	_	6	det	_	_
doggie	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","Marky	_	PROPN	NNP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	7	mark	_	_
be	_	AUX	VB	_	_	7	cop	_	_
a	_	DET	DT	_	_	7	det	_	_
doggie	_	NOUN	NN	_	_	3	xcomp	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
he's going to fall down .,"he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
fall	_	_	_	_	_	2	xcomp	_	_
down	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
fall	_	_	_	_	_	2	xcomp	_	_
down	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","he	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	5	mark	_	_
fall	_	VERB	VB	_	_	3	xcomp	_	_
down	_	ADP	RP	_	_	5	compound:prt	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
the boy's going to get the other boy .,"the	_	_	_	_	_	2	det	_	_
boy's	_	_	_	_	_	3	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	5	mark	_	_
get	_	_	_	_	_	3	xcomp	_	_
the	_	_	_	_	_	8	det	_	_
other	_	_	_	_	_	8	amod	_	_
boy	_	_	_	_	_	5	obj	_	_
.	_	_	_	_	_	3	punct	_	_","the	_	_	_	_	_	2	det	_	_
boy's	_	_	_	_	_	3	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	5	mark	_	_
get	_	_	_	_	_	3	xcomp	_	_
the	_	_	_	_	_	8	det	_	_
other	_	_	_	_	_	8	amod	_	_
boy	_	_	_	_	_	5	obj	_	_
.	_	_	_	_	_	3	punct	_	_","the	_	DET	DT	_	_	2	det	_	_
boy	_	NOUN	NN	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	6	mark	_	_
get	_	VERB	VB	_	_	4	xcomp	_	_
the	_	DET	DT	_	_	9	det	_	_
other	_	ADJ	JJ	_	_	9	amod	_	_
boy	_	NOUN	NN	_	_	6	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
he's going to knock him over .,"he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
knock	_	_	_	_	_	2	xcomp	_	_
him	_	_	_	_	_	4	obj	_	_
over	_	_	_	_	_	4	compound:prt	_	_
.	_	_	_	_	_	2	punct	_	_","he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
knock	_	_	_	_	_	2	xcomp	_	_
him	_	_	_	_	_	4	obj	_	_
over	_	_	_	_	_	4	compound:prt	_	_
.	_	_	_	_	_	2	punct	_	_","he	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	5	mark	_	_
knock	_	VERB	VB	_	_	3	xcomp	_	_
him	_	PRON	PRP	_	_	5	obj	_	_
over	_	ADP	RP	_	_	5	compound:prt	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
no he's he's not going to knock .,"no	_	_	_	_	_	5	discourse	_	_
he's	_	_	_	_	_	5	reparandum	_	_
he's	_	_	_	_	_	5	nsubj	_	_
not	_	_	_	_	_	5	advmod	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	7	mark	_	_
knock	_	_	_	_	_	5	xcomp	_	_
.	_	_	_	_	_	5	punct	_	_","no	_	_	_	_	_	5	discourse	_	_
he's	_	_	_	_	_	5	reparandum	_	_
he's	_	_	_	_	_	5	nsubj	_	_
not	_	_	_	_	_	5	advmod	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	7	mark	_	_
knock	_	_	_	_	_	5	xcomp	_	_
.	_	_	_	_	_	5	punct	_	_","no	_	INTJ	UH	_	_	7	discourse	_	_
he	_	PRON	PRP	_	_	7	nsubj:outer	_	_
's	_	AUX	VBZ	_	_	7	reparandum	_	_
he	_	PRON	PRP	_	_	7	nsubj	_	_
's	_	AUX	VBZ	_	_	7	aux	_	_
not	_	PART	RB	_	_	7	advmod	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	9	mark	_	_
knock	_	VERB	VB	_	_	7	xcomp	_	_
.	_	PUNCT	.	_	_	7	punct	_	_"
